Proteins,"Genes of polypeptide, complex, or RNA",Common-Name,Locations
G185E-5205-MONOMER,G185E-5205,hypothetical protein,CCI-CYTOSOL-GP
G185E-7004-MONOMER,G185E-7004,possible type I restriction/modification system specificity determinant (fragment),
G185E-5590-MONOMER,G185E-5590,probable,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4185-MONOMER,G185E-4185,serine hydroxymethyltransferase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5960-MONOMER,G185E-5960,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-7382-MONOMER,G185E-7382,conserved hypothetical protein,
G185E-7751-MONOMER,G185E-7751,possible transposase for insertion element IS6110 (fragment),CCI-PM-BAC-ACT-GP
G185E-6337-MONOMER,G185E-6337,monophosphatase,CCI-PM-BAC-ACT-GP
G185E-8132-MONOMER,G185E-8132,conserved hypothetical protein,
G185E-4812-MONOMER,G185E-4812,possible hydrolase,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5189-MONOMER,G185E-5189,probable potassium-transporting ATPase a chain,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-6988-MONOMER,G185E-6988,possible alanine rich transferase,
G185E-5574-MONOMER,G185E-5574,probable DNA/pantothenate metabolism flavoprotein homolog,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4169-MONOMER,G185E-4169,30S ribosomal protein S18-1,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G185E-5944-MONOMER,G185E-5944,possible integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-7366-MONOMER,G185E-7366,putative cell division ATP-binding protein,CCI-PM-BAC-ACT-GP
G185E-7735-MONOMER,G185E-7735,30S ribosomal protein S4,CCI-CW-BAC-ACT-GP // CCI-RIBOSOME-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6321-MONOMER,G185E-6321,mycobacterial proteasome ATPase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-8116-MONOMER,G185E-8116,2-<i>O</i>-sulfo trehalose long-chain-acyltransferase,CCI-CYTOSOL-GP
G185E-4796-MONOMER,G185E-4796,possible transcriptional regulatory protein (probably TetR-family),CCI-CYTOSOL-GP
G185E-5175-MONOMER,G185E-5175,probable ribose-phosphate pyrophosphokinase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6972-MONOMER,G185E-6972,probable acyl-CoA dehydrogenase,CCI-CYTOSOL-GP
G185E-5558-MONOMER,G185E-5558,conserved hypothetical protein,
G185E-4153-MONOMER,G185E-4153,possible conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-5927-MONOMER,G185E-5927,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-7349-MONOMER,G185E-7349,possible triacylglycerol synthase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-CW-BAC-ACT-GP
G185E-7719-MONOMER,G185E-7719,30S ribosomal protein S9,CCI-RIBOSOME-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6302-MONOMER,G185E-6302,proteasome accessory factor B,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-8100-MONOMER,G185E-8100,antigen 85A,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-4779-MONOMER,G185E-4779,HadC,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5159-MONOMER,G185E-5159,probable arginine deiminase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6956-MONOMER,G185E-6956,conserved hypothetical protein,
G185E-5540-MONOMER,G185E-5540,probable oxidoreductase,CCI-CYTOSOL-GP
G185E-4137-MONOMER,G185E-4137,possible transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-7333-MONOMER,G185E-7333,conserved hypothetical protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5913-MONOMER,G185E-5913,possible toxin,
G185E-7703-MONOMER,G185E-7703,PPE family protein PPE58,CCI-PM-BAC-ACT-GP
G185E-6286-MONOMER,G185E-6286,lipoprotein,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-8084-MONOMER,G185E-8084,hypothetical protein,CCI-CYTOSOL-GP
G185E-4761-MONOMER,G185E-4761,possible antitoxin,
G185E-5142-MONOMER,G185E-5142,possible large-conductance ion mechanosensitive channel,CCI-PM-BAC-ACT-GP
G185E-6940-MONOMER,G185E-6940,TRK system potassium uptake protein CeoC,CCI-PM-BAC-ACT-GP
G185E-5523-MONOMER,G185E-5523,acyl-carrier protein MbtL,CCI-CYTOSOL-GP
G185E-4118-MONOMER,G185E-4118,possible conserved membrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-7316-MONOMER,G185E-7316,possible transcriptional regulatory protein (probably TetR-family),CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5896-MONOMER,G185E-5896,PPE family protein PPE22,CCI-PM-BAC-ACT-GP
G185E-7687-MONOMER,G185E-7687,probable inosine-5'-monophosphate dehydrogenase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6270-MONOMER,G185E-6270,precorrin-8X methylmutase,CCI-CYTOSOL-GP
G185E-8067-MONOMER,G185E-8067,probable histidinol-phosphate aminotransferase,CCI-CYTOSOL-GP
G185E-6650-MONOMER,G185E-6650,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4744-MONOMER,G185E-4744,possible toxin VapC28. Contains PIN domain.,CCI-CYTOSOL-GP
G185E-5126-MONOMER,G185E-5126,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-6924-MONOMER,G185E-6924,conserved protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5507-MONOMER,G185E-5507,probable glycogen phosphorylase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7299-MONOMER,G185E-7299,conserved protein,CCI-CYTOSOL-GP
G185E-5879-MONOMER,G185E-5879,probable tyrosyl-tRNA synthase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7671-MONOMER,G185E-7671,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6254-MONOMER,G185E-6254,RNA polymerase-binding protein RbpA,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-8049-MONOMER,G185E-8049,possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport ATP-binding protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-6634-MONOMER,G185E-6634,probable GTP-binding protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4728-MONOMER,G185E-4728,possible Mce-family lipoprotein,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5110-MONOMER,G185E-5110,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-6908-MONOMER,G185E-6908,hypothetical protein,
G185E-5487-MONOMER,G185E-5487,possible transposase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7279-MONOMER,G185E-7279,ESAT-6 like protein,CCI-EXTRACELLULAR-GP
G185E-5863-MONOMER,G185E-5863,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-7655-MONOMER,G185E-7655,probable 1-deoxy-D-xylulose 5-phosphate synthase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6237-MONOMER,G185E-6237,arsR repressor protein,
G185E-8032-MONOMER,G185E-8032,possible oxidoreductase,CCI-CYTOSOL-GP // CCO-MEMBRANE
G185E-6617-MONOMER,G185E-6617,ferredoxin-dependent sulfite reductase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4712-MONOMER,G185E-4712,PE-PGRS family protein PE_PGRS7,CCI-EXTRACELLULAR-GP
G185E-5093-MONOMER,G185E-5093,ATP dependent DNA ligase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6888-MONOMER,G185E-6888,hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-5471-MONOMER,G185E-5471,probable transcription termination factor,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7263-MONOMER,G185E-7263,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-5847-MONOMER,G185E-5847,probable arginine repressor,CCI-CYTOSOL-GP
G185E-7639-MONOMER,G185E-7639,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6220-MONOMER,G185E-6220,antitoxin,CCI-CYTOSOL-GP
G185E-8016-MONOMER,G185E-8016,possible dehydrogenase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6601-MONOMER,G185E-6601,conserved hypothetical protein,
G185E-4695-MONOMER,G185E-4695,probable polyprenyl-diphosphate synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5076-MONOMER,G185E-5076,possible resolvase,CCI-CYTOSOL-GP
G185E-6872-MONOMER,G185E-6872,hypothetical protein,
G185E-5454-MONOMER,G185E-5454,probable oligopeptide-transport integral membrane protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-7245-MONOMER,G185E-7245,hypothetical protein,CCI-CYTOSOL-GP
G185E-5831-MONOMER,G185E-5831,probable initiation factor if-3,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4427-MONOMER,G185E-4427,PPE family protein PPE5,
G185E-7623-MONOMER,G185E-7623,PPE family protein PPE55,
G185E-6203-MONOMER,G185E-6203,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-7998-MONOMER,G185E-7998,probable DNA polymerase III (epsilon subunit),CCI-CYTOSOL-GP
G185E-6585-MONOMER,G185E-6585,probable zinc uptake regulation protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4679-MONOMER,G185E-4679,conserved protein,
G185E-5059-MONOMER,G185E-5059,possible enoyl-CoA hydratase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6856-MONOMER,G185E-6856,"diadenosine 5',5'''-P<sup>1</sup>,P<sup>4</sup>-tetraphosphate phosphorylase subunit",CCI-PM-BAC-ACT-GP
G185E-5438-MONOMER,G185E-5438,probable transmembrane serine/threonine-protein kinase H,CCI-CYTOSOL-GP // CCI-CW-BAC-ACT-GP // CCI-PERI-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-7229-MONOMER,G185E-7229,conserved hypothetical alanine rich protein,
G185E-5815-MONOMER,G185E-5815,probable two-component system transcriptional regulator,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4411-MONOMER,G185E-4411,low molecular weight protein antigen 7,CCI-EXTRACELLULAR-GP
G185E-7607-MONOMER,G185E-7607,probable sugar-transport integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-6187-MONOMER,G185E-6187,possible chitinase,
G185E-7982-MONOMER,G185E-7982,possible toxin VapC48. Contains PIN domain.,CCI-CYTOSOL-GP
G185E-6569-MONOMER,G185E-6569,DNA primase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4663-MONOMER,G185E-4663,conserved protein,CCI-PM-BAC-ACT-GP
G185E-5043-MONOMER,G185E-5043,probable citrate synthase II,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6840-MONOMER,G185E-6840,conserved hypothetical protein,
G185E-5421-MONOMER,G185E-5421,probable drug-transport integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-7213-MONOMER,G185E-7213,4-<i>O</i>-(&alpha;-L-rhamnopyranosyl)-hydroxybenzoate methyl ester 2'-<i>O</i>-methyltransferase,CCI-PM-BAC-ACT-GP
G185E-5798-MONOMER,G185E-5798,possible conserved membrane protein,CCI-PM-BAC-ACT-GP
G185E-4394-MONOMER,G185E-4394,unknown protein,CCO-MEMBRANE
G185E-7590-MONOMER,G185E-7590,probable cytidine deaminase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6171-MONOMER,G185E-6171,probable conserved Mce associated membrane protein,CCO-MEMBRANE
G185E-7965-MONOMER,G185E-7965,probable transcriptional regulatory protein WhiB-like,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6552-MONOMER,G185E-6552,PE family protein PE23,CCI-PM-BAC-ACT-GP
G185E-4647-MONOMER,G185E-4647,conserved 13E12 repeat family protein,CCI-CYTOSOL-GP
G185E-5027-MONOMER,G185E-5027,probable acyl-CoA dehydrogenase,CCI-CYTOSOL-GP // CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-6824-MONOMER,G185E-6824,probable peptidyl-prolyl cis-trans isomerase B,CCI-PERI-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-5405-MONOMER,G185E-5405,probable transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-7197-MONOMER,G185E-7197,possible transposase,CCI-CYTOSOL-GP
G185E-5782-MONOMER,G185E-5782,probable quinolinate synthetase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4378-MONOMER,G185E-4378,PPE family protein PPE2,CCI-EXTRACELLULAR-GP // CCI-PM-BAC-ACT-GP
G185E-7574-MONOMER,G185E-7574,conserved hypothetical protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6155-MONOMER,G185E-6155,SecB-like chaperone Rv1957,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7194-MONOMER,G185E-7194,fatty-acid-AMP ligase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5779-MONOMER,G185E-5779,probable transmembrane protein,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-4375-MONOMER,G185E-4375,nitrite reductase subunit NirD,CCI-CYTOSOL-GP
G185E-7571-MONOMER,G185E-7571,probable endonuclease VIII,CCI-CYTOSOL-GP
G185E-6152-MONOMER,G185E-6152,hypothetical protein,
G185E-7946-MONOMER,G185E-7946,"heme ABC transporter, ATP-binding subunit",CCI-PM-BAC-ACT-GP
G185E-6533-MONOMER,G185E-6533,hypothetical protein,
G185E-4628-MONOMER,G185E-4628,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-5008-MONOMER,G185E-5008,conserved protein,CCI-CYTOSOL-GP
G185E-6805-MONOMER,G185E-6805,probable glutamine-transport transmembrane protein ABC transporter,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5385-MONOMER,G185E-5385,conserved protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7178-MONOMER,G185E-7178,probable ribonuclease III,CCI-CYTOSOL-GP
G185E-5763-MONOMER,G185E-5763,probable PhiRv1 phage protein,
G185E-4358-MONOMER,G185E-4358,&beta;-<i>N</i>-acetylglucosaminidase,CCI-PM-BAC-ACT-GP
G185E-7555-MONOMER,G185E-7555,probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (epsilon chain),CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6136-MONOMER,G185E-6136,probable oxidoreductase,CCI-PM-BAC-ACT-GP
G185E-7927-MONOMER,G185E-7927,conserved hypothetical protein,
G185E-6516-MONOMER,G185E-6516,Uncharacterized oxidoreductase Rv2298,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4611-MONOMER,G185E-4611,probable conserved lipoprotein,CCI-EXTRACELLULAR-GP
G185E-4992-MONOMER,G185E-4992,probable conserved lipoprotein,CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-6787-MONOMER,G185E-6787,possible toxin,CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-5369-MONOMER,G185E-5369,possible transposase,CCI-CYTOSOL-GP
G185E-7161-MONOMER,G185E-7161,30S ribosomal protein S16,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP // CCI-PM-BAC-ACT-GP
G185E-5747-MONOMER,G185E-5747,probable threonine dehydratase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4342-MONOMER,G185E-4342,probable enoyl-CoA hydratase,CCI-CYTOSOL-GP
G185E-7539-MONOMER,G185E-7539,,CCI-PM-BAC-ACT-GP
G185E-6120-MONOMER,G185E-6120,lipase LipD,CCI-PERI-ACT-GP
G185E-7910-MONOMER,G185E-7910,possible transferase (possibly glycosyltransferase),CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6500-MONOMER,G185E-6500,probable transcription regulator (LysR family),CCI-CYTOSOL-GP
G185E-4595-MONOMER,G185E-4595,3-hydroxybutyryl-CoA dehydrogenase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4971-MONOMER,G185E-4971,conserved protein,CCI-EXTRACELLULAR-GP
G185E-6771-MONOMER,G185E-6771,hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-5352-MONOMER,G185E-5352,probable conserved transmembrane transport protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-7145-MONOMER,G185E-7145,possible oxidoreductase,CCI-CYTOSOL-GP
G185E-5731-MONOMER,G185E-5731,possible fatty acyl-CoA reductase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4326-MONOMER,G185E-4326,mycobacterial membrane protein L3,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7523-MONOMER,G185E-7523,possible transcriptional regulatory protein (probably TetR-family),CCI-CYTOSOL-GP
G185E-6104-MONOMER,G185E-6104,hypothetical protein,
G185E-7894-MONOMER,G185E-7894,ESX-1 secretion-associated protein,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6484-MONOMER,G185E-6484,&omega;-hydroxy-II-dihydromenaquinone-9 sulfotransferase Stf3,CCI-CYTOSOL-GP // CCO-MEMBRANE
G185E-4579-MONOMER,G185E-4579,conserved hypothetical protein,
G185E-4955-MONOMER,G185E-4955,possible UDP-glucose-4-epimerase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6754-MONOMER,G185E-6754,unknown protein,
G185E-5335-MONOMER,G185E-5335,probable conserved lipoprotein,CCI-PERI-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7129-MONOMER,G185E-7129,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-5715-MONOMER,G185E-5715,probable polyketide synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4310-MONOMER,G185E-4310,drug efflux pump,CCI-PM-BAC-ACT-GP
G185E-7507-MONOMER,G185E-7507,possible triacylglycerol synthase,CCI-PM-BAC-ACT-GP // CCI-CW-BAC-ACT-GP
G185E-6088-MONOMER,G185E-6088,conserved protein,CCI-EXTRACELLULAR-GP
G185E-7878-MONOMER,G185E-7878,hypothetical short protein,
G185E-6468-MONOMER,G185E-6468,possible flavoprotein,CCI-CYTOSOL-GP
G185E-4563-MONOMER,G185E-4563,molybdopterin molybdenumtransferase 2,CCI-CYTOSOL-GP
G185E-4939-MONOMER,G185E-4939,hypothetical protein,CCI-CYTOSOL-GP
G185E-6737-MONOMER,G185E-6737,,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5318-MONOMER,G185E-5318,transcriptional regulatory protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7113-MONOMER,G185E-7113,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-5699-MONOMER,G185E-5699,GDP-D-mannose dehydratase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4294-MONOMER,G185E-4294,probable conserved Mce associated transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-7491-MONOMER,G185E-7491,probable two component sensor kinase,CCI-CYTOSOL-GP
G185E-6071-MONOMER,G185E-6071,probable bacterioferritin,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7861-MONOMER,G185E-7861,possible transcription factor,CCI-CYTOSOL-GP
G185E-6450-MONOMER,G185E-6450,conserved protein,CCI-PM-BAC-ACT-GP
G185E-4547-MONOMER,G185E-4547,probable phosphomethylpyrimidine kinase,CCI-CYTOSOL-GP
G185E-4923-MONOMER,G185E-4923,conserved hypothetical protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6720-MONOMER,G185E-6720,probable carboxylesterase,
G185E-5301-MONOMER,G185E-5301,PPE family protein PPE16,CCI-PM-BAC-ACT-GP
G185E-7097-MONOMER,G185E-7097,possible integral membrane efflux protein,CCI-PM-BAC-ACT-GP
G185E-5683-MONOMER,G185E-5683,probable methyltransferase,CCI-CYTOSOL-GP
G185E-4278-MONOMER,G185E-4278,PE family protein PE4,CCI-PERI-ACT-GP
G185E-7474-MONOMER,G185E-7474,possible DNA-methyltransferase (modification methylase),
G185E-6055-MONOMER,G185E-6055,alanine and proline rich secreted protein,CCI-EXTRACELLULAR-GP
G185E-7845-MONOMER,G185E-7845,"3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-hydroxylase reductase component",
G185E-6433-MONOMER,G185E-6433,probable glutamine synthetase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4531-MONOMER,G185E-4531,beta lactamase like protein,
G185E-4906-MONOMER,G185E-4906,possible two component system response sensor kinase membrane associated,CCI-PM-BAC-ACT-GP
G185E-6704-MONOMER,G185E-6704,conserved hypothetical protein,CCI-EXTRACELLULAR-GP
G185E-5285-MONOMER,G185E-5285,hypothetical protein,
G185E-7081-MONOMER,G185E-7081,possible antitoxin,
G185E-5667-MONOMER,G185E-5667,3-oxoacyl-[acyl-carrier protein] reductase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4262-MONOMER,G185E-4262,possible S-adenosylmethionine-dependent methyltransferase,CCI-CYTOSOL-GP
G185E-7457-MONOMER,G185E-7457,probable transposase,CCI-CYTOSOL-GP
G185E-6039-MONOMER,G185E-6039,probable 6-phosphogluconate dehydrogenase,CCI-CYTOSOL-GP
G185E-7829-MONOMER,G185E-7829,"3-[(3a<i>S</i>,4<i>S</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA ligase &beta; subunit",CCI-CYTOSOL-GP
G185E-6417-MONOMER,G185E-6417,probable nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase,CCI-CYTOSOL-GP
G185E-4515-MONOMER,G185E-4515,probable O-succinylhomoserine sulfhydrylase,CCI-CYTOSOL-GP
G185E-8208-MONOMER,G185E-8208,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-4889-MONOMER,G185E-4889,possible transcriptional regulatory protein,
G185E-6686-MONOMER,G185E-6686,2-oxoglutarate:ferredoxin oxidoreductase &beta; subunit,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5269-MONOMER,G185E-5269,possible para-nitrobenzyl esterase (fragment),
G185E-7065-MONOMER,G185E-7065,probable transposase,CCI-PM-BAC-ACT-GP
G185E-5651-MONOMER,G185E-5651,polyubiquitin binding protein,CCI-EXTRACELLULAR-GP // CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4246-MONOMER,G185E-4246,antigen 85C,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7441-MONOMER,G185E-7441,probable epoxide hydrolase,CCI-CYTOSOL-GP
G185E-6023-MONOMER,G185E-6023,Uncharacterized HTH-type transcriptional regulator Rv1828,CCI-CYTOSOL-GP
G185E-7813-MONOMER,G185E-7813,,CCI-CYTOSOL-GP
G185E-6400-MONOMER,G185E-6400,Probable endopeptidase Rv2190c,CCI-EXTRACELLULAR-GP
G185E-4499-MONOMER,G185E-4499,carbon monoxide dehydrogenase subunit M,CCI-CYTOSOL-GP
G185E-8192-MONOMER,G185E-8192,ESX conserved component EccC2. ESX-2 type VII secretion system protein. Possible membrane protein.,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4873-MONOMER,G185E-4873,possible D-3-phosphoglycerate dehydrogenase,CCI-CYTOSOL-GP
G185E-6670-MONOMER,G185E-6670,conserved hypothetical protein,
G185E-5252-MONOMER,G185E-5252,PE family protein PE10,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7049-MONOMER,G185E-7049,possible hydrolase,
G185E-5635-MONOMER,G185E-5635,PE-PGRS family protein PE_PGRS28,CCI-EXTRACELLULAR-GP
G185E-4230-MONOMER,G185E-4230,probable sedoheptulose-7-phosphate isomerase,CCI-CYTOSOL-GP
G185E-7425-MONOMER,G185E-7425,possible transcriptional regulatory protein (probably TetR-family),CCI-CYTOSOL-GP
G185E-6007-MONOMER,G185E-6007,probable dehydrogenase,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7797-MONOMER,G185E-7797,possible coenzyme F420-dependent oxidoreductase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-6383-MONOMER,G185E-6383,alpha(1->6)mannosyltransferase. Possible conserved integral membrane protein.,CCI-PM-BAC-ACT-GP
G185E-4483-MONOMER,G185E-4483,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-8176-MONOMER,G185E-8176,ESX-1 secretion-associated protein EspJ. Conserved alanine rich protein.,CCI-EXTRACELLULAR-GP // CCI-PERI-ACT-GP
G185E-4857-MONOMER,G185E-4857,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-5236-MONOMER,G185E-5236,probable beta-ketoacyl CoA thiolase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7033-MONOMER,G185E-7033,probable lipoprotein,
G185E-5619-MONOMER,G185E-5619,probable glyceraldehyde 3-phosphate dehydrogenase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-4214-MONOMER,G185E-4214,(R)-3-[(carboxylmethyl)amino]fatty acid dioxygenase/decarboxylase,CCI-CYTOSOL-GP
G185E-5991-MONOMER,G185E-5991,probable proline rich membrane-anchored mycosin,CCI-PM-BAC-ACT-GP
G185E-7781-MONOMER,G185E-7781,3-oxocholest-4-en-26-oyl-CoA dehydrogenase &alpha; subunit,CCI-PM-BAC-ACT-GP
G185E-6367-MONOMER,G185E-6367,conserved protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4467-MONOMER,G185E-4467,isoniazid inductible gene protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-8160-MONOMER,G185E-8160,possible transcriptional regulatory protein WhiB-like,CCI-CYTOSOL-GP
G185E-4841-MONOMER,G185E-4841,probable dehydrogenase,CCI-PM-BAC-ACT-GP
