Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_1352-MONOMER	Acetate--CoA ligase		SYNPCC7942_1352
SYNPCC7942_0229-MONOMER	hypothetical protein		SYNPCC7942_0229
SYNPCC7942_1719-MONOMER	isocitrate dehydrogenase, NADP-dependent		SYNPCC7942_1719
SYNPCC7942_0597-MONOMER	naphthoate synthase		SYNPCC7942_0597
SYNPCC7942_2087-MONOMER	imidazoleglycerol phosphate synthase, cyclase subunit	CCI-CYTOSOL-GN	SYNPCC7942_2087
SYNPCC7942_2349-MONOMER	twitching motility protein		SYNPCC7942_2349
SYNPCC7942_0964-MONOMER	conserved hypothetical protein		SYNPCC7942_0964
SYNPCC7942_1336-MONOMER	conserved hypothetical protein		SYNPCC7942_1336
SYNPCC7942_0213-MONOMER	hypothetical protein		SYNPCC7942_0213
SYNPCC7942_1703-MONOMER	&alpha;-mannosidase		SYNPCC7942_1703
SYNPCC7942_0581-MONOMER	conserved hypothetical protein		SYNPCC7942_0581
SYNPCC7942_2071-MONOMER	ATPase		SYNPCC7942_2071
SYNPCC7942_2333-MONOMER	OxPP cycle protein OpcA		SYNPCC7942_2333
SYNPCC7942_0948-MONOMER	sugar ABC transporter, permease subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_0948
SYNPCC7942_1320-MONOMER	conserved hypothetical protein		SYNPCC7942_1320
SYNPCC7942_0197-MONOMER	folate/biopterin transporter	CCO-MEMBRANE	SYNPCC7942_0197
SYNPCC7942_1687-MONOMER	thiosulfate ABC transporter, permease protein CysU	CCI-PM-BAC-NEG-GN	SYNPCC7942_1687
SYNPCC7942_0565-MONOMER	FHA domain containing protein		SYNPCC7942_0565
SYNPCC7942_2055-MONOMER	2-methoxy-6-(<i>all-trans</i>-polyprenyl)phenol 4-hydroxylase	CCO-MEMBRANE	SYNPCC7942_2055
SYNPCC7942_2317-MONOMER	copper-transporting ATPase	CCI-PM-BAC-NEG-GN	SYNPCC7942_2317
SYNPCC7942_0932-MONOMER	lipid-A-disaccharide synthase		SYNPCC7942_0932
SYNPCC7942_1304-MONOMER	conserved hypothetical protein		SYNPCC7942_1304
SYNPCC7942_0181-MONOMER	ATPase		SYNPCC7942_0181
SYNPCC7942_1671-MONOMER	potassium-transporting ATPase, C subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_1671
SYNPCC7942_0549-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0549
SYNPCC7942_2039-MONOMER	conserved hypothetical protein		SYNPCC7942_2039
SYNPCC7942_2301-MONOMER	hypothetical protein		SYNPCC7942_2301
SYNPCC7942_0916-MONOMER	conserved hypothetical protein		SYNPCC7942_0916
SYNPCC7942_1288-MONOMER	conserved hypothetical protein		SYNPCC7942_1288
SYNPCC7942_0165-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0165
SYNPCC7942_1655-MONOMER	hypothetical protein		SYNPCC7942_1655
SYNPCC7942_0533-MONOMER	conserved hypothetical protein		SYNPCC7942_0533
SYNPCC7942_2023-MONOMER	conserved hypothetical protein	CCI-CYTOSOL-GN	SYNPCC7942_2023
SYNPCC7942_2285-MONOMER	glycerol dehydrogenase		SYNPCC7942_2285
SYNPCC7942_0900-MONOMER	conserved hypothetical protein		SYNPCC7942_0900
SYNPCC7942_B2654-MONOMER	rhodanese-related sulfurtransferase		SYNPCC7942_B2654
SYNPCC7942_1272-MONOMER	conserved hypothetical protein		SYNPCC7942_1272
SYNPCC7942_0149-MONOMER	methylated-DNA--protein-cysteine methyltransferase		SYNPCC7942_0149
SYNPCC7942_1639-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_1639
SYNPCC7942_0517-MONOMER	single-stranded-DNA-specific exonuclease RecJ		SYNPCC7942_0517
SYNPCC7942_2007-MONOMER	Coenzyme A biosynthesis protein	CCI-CYTOSOL-GN	SYNPCC7942_2007
SYNPCC7942_2269-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2269
SYNPCC7942_0884-MONOMER	translation elongation factor Tu	CCI-CYTOSOL-GN	SYNPCC7942_0884
SYNPCC7942_B2638-MONOMER	conserved hypothetical protein		SYNPCC7942_B2638
SYNPCC7942_1256-MONOMER	glutathione S-transferase		SYNPCC7942_1256
SYNPCC7942_0133-MONOMER	conserved hypothetical protein		SYNPCC7942_0133
SYNPCC7942_1623-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1623
SYNPCC7942_0501-MONOMER	Nucleoside-diphosphate-sugar epimerases-like		SYNPCC7942_0501
SYNPCC7942_1991-MONOMER	large conductance mechanosensitive channel protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1991
SYNPCC7942_2253-MONOMER	Glutamate--cysteine ligase, putative		SYNPCC7942_2253
SYNPCC7942_0868-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0868
SYNPCC7942_B2622-MONOMER	probable chromate transport transmembrane protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_B2622
SYNPCC7942_1240-MONOMER	ferredoxin--nitrite reductase		SYNPCC7942_1240
SYNPCC7942_0116-MONOMER	fructokinase		SYNPCC7942_0116
SYNPCC7942_1607-MONOMER	probable porin; major outer membrane protein	CCO-MEMBRANE	SYNPCC7942_1607
SYNPCC7942_0485-MONOMER	phosphoserine phosphatase		SYNPCC7942_0485
SYNPCC7942_1975-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1975
SYNPCC7942_2237-MONOMER	conserved hypothetical protein		SYNPCC7942_2237
SYNPCC7942_0851-MONOMER	phosphoribosylformylglycinamidine cyclo-ligase	CCI-CYTOSOL-GN	SYNPCC7942_0851
SYNPCC7942_2605-MONOMER	conserved hypothetical protein		SYNPCC7942_2605
SYNPCC7942_1224-MONOMER	ABC-transporter membrane fusion protein	CCO-MEMBRANE	SYNPCC7942_1224
SYNPCC7942_0100-MONOMER	conserved hypothetical protein		SYNPCC7942_0100
SYNPCC7942_1591-MONOMER	30S ribosomal subunit protein S1	CCI-RIBOSOME-GN	SYNPCC7942_1591
SYNPCC7942_0469-MONOMER	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	CCI-CYTOSOL-GN	SYNPCC7942_0469
SYNPCC7942_1959-MONOMER	prolyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_1959
SYNPCC7942_2221-MONOMER	50S ribosomal subunit protein L24	CCI-RIBOSOME-GN	SYNPCC7942_2221
SYNPCC7942_0835-MONOMER	Holliday junction DNA helicase RuvB		SYNPCC7942_0835
SYNPCC7942_2589-MONOMER	2-phosphosulfolactate phosphatase		SYNPCC7942_2589
SYNPCC7942_1208-MONOMER	Prevent-host-death protein		SYNPCC7942_1208
SYNPCC7942_0084-MONOMER	conserved hypothetical protein		SYNPCC7942_0084
SYNPCC7942_1575-MONOMER	Glycogen debranching enzyme		SYNPCC7942_1575
SYNPCC7942_0453-MONOMER	two-component sensor histidine kinase Hik2		SYNPCC7942_0453
SYNPCC7942_1943-MONOMER	cell division protein Ftn2	CCO-MEMBRANE	SYNPCC7942_1943
SYNPCC7942_2205-MONOMER	30S ribosomal subunit protein S9	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_2205
SYNPCC7942_0818-MONOMER	Phosphoribosylformylglycinamidine synthetase PurS	CCI-CYTOSOL-GN	SYNPCC7942_0818
SYNPCC7942_2573-MONOMER	manganese transport system membrane protein MntB	CCI-PM-BAC-NEG-GN	SYNPCC7942_2573
SYNPCC7942_1192-MONOMER	conserved hypothetical protein		SYNPCC7942_1192
SYNPCC7942_0068-MONOMER	ABC type transporter, ATPase component		SYNPCC7942_0068
SYNPCC7942_1559-MONOMER	conserved hypothetical protein		SYNPCC7942_1559
SYNPCC7942_0437-MONOMER	putative glutathione peroxidase		SYNPCC7942_0437
SYNPCC7942_1927-MONOMER	diaminopimelate epimerase	CCI-CYTOSOL-GN	SYNPCC7942_1927
SYNPCC7942_2189-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2189
SYNPCC7942_0802-MONOMER	allophycocyanin alpha chain-like	CCI-THY-MEM-CYA-GN	SYNPCC7942_0802
SYNPCC7942_2557-MONOMER	NAD-reducing hydrogenase HoxS &gamma; subunit		SYNPCC7942_2557
SYNPCC7942_1176-MONOMER	PsbF	CCI-CYTOSOL-GN // CCI-THY-MEM-CYA-GN	SYNPCC7942_1176
SYNPCC7942_0052-MONOMER	conserved hypothetical protein		SYNPCC7942_0052
SYNPCC7942_1543-MONOMER	putative ribonuclease II		SYNPCC7942_1543
SYNPCC7942_0421-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0421
SYNPCC7942_1911-MONOMER	Protein conferring resistance to acetazolamide		SYNPCC7942_1911
SYNPCC7942_2173-MONOMER	Iron deficiency-induced protein C		SYNPCC7942_2173
SYNPCC7942_0786-MONOMER	conserved hypothetical protein		SYNPCC7942_0786
SYNPCC7942_2541-MONOMER	50S ribosomal subunit protein L19	CCI-RIBOSOME-GN	SYNPCC7942_2541
SYNPCC7942_1160-MONOMER	conserved hypothetical protein		SYNPCC7942_1160
SYNPCC7942_0036-MONOMER	conserved hypothetical protein		SYNPCC7942_0036
SYNPCC7942_1526-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1526
SYNPCC7942_0405-MONOMER	DNA polymerase III, delta subunit		SYNPCC7942_0405
SYNPCC7942_1895-MONOMER	conserved hypothetical protein		SYNPCC7942_1895
SYNPCC7942_2157-MONOMER	conserved hypothetical protein		SYNPCC7942_2157
SYNPCC7942_0770-MONOMER	conserved hypothetical protein		SYNPCC7942_0770
SYNPCC7942_2525-MONOMER	ClpP2	CCI-CYTOSOL-GN	SYNPCC7942_2525
SYNPCC7942_1144-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1144
SYNPCC7942_0020-MONOMER	conserved hypothetical protein		SYNPCC7942_0020
SYNPCC7942_1510-MONOMER	group3 RNA polymerase sigma factor SigF		SYNPCC7942_1510
SYNPCC7942_0389-MONOMER	hypothetical protein		SYNPCC7942_0389
SYNPCC7942_1879-MONOMER	MoxR protein-like		SYNPCC7942_1879
SYNPCC7942_2141-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2141
SYNPCC7942_0754-MONOMER	hypothetical protein		SYNPCC7942_0754
SYNPCC7942_2509-MONOMER	HAD-superfamily IA hydrolase, REG-2-like		SYNPCC7942_2509
SYNPCC7942_1128-MONOMER	conserved hypothetical protein	CCI-EXTRACELLULAR-GN	SYNPCC7942_1128
SYNPCC7942_0004-MONOMER	amidophosphoribosyltransferase		SYNPCC7942_0004
SYNPCC7942_1493-MONOMER	MazG family protein		SYNPCC7942_1493
SYNPCC7942_0373-MONOMER	conserved hypothetical protein		SYNPCC7942_0373
SYNPCC7942_1863-MONOMER	HemK family methyltransferase		SYNPCC7942_1863
SYNPCC7942_2125-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2125
SYNPCC7942_0738-MONOMER	phage baseplate assembly protein V		SYNPCC7942_0738
SYNPCC7942_2493-MONOMER	branched-chain amino acid ABC transporter ATP-binding component		SYNPCC7942_2493
SYNPCC7942_1112-MONOMER	Pseudouridine synthase, RluD		SYNPCC7942_1112
HTX97_RS00040-MONOMER	hypothetical protein		HTX97_RS00040
SYNPCC7942_1477-MONOMER	conserved hypothetical protein		SYNPCC7942_1477
SYNPCC7942_0357-MONOMER	inorganic carbon transporter	CCO-MEMBRANE	SYNPCC7942_0357
SYNPCC7942_1847-MONOMER	dihydrodipicolinate synthase	CCI-CYTOSOL-GN	SYNPCC7942_1847
SYNPCC7942_2109-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_2109
SYNPCC7942_0722-MONOMER	conserved hypothetical protein		SYNPCC7942_0722
SYNPCC7942_2477-MONOMER	SulA cell division inhibitor		SYNPCC7942_2477
SYNPCC7942_1096-MONOMER	thiamine biosynthesis protein ThiC		SYNPCC7942_1096
SYNPCC7942_1461-MONOMER	iron-regulated protein B		SYNPCC7942_1461
SYNPCC7942_0341-MONOMER	hypothetical protein		SYNPCC7942_0341
SYNPCC7942_1831-MONOMER	inosine-5'-monophosphate dehydrogenase		SYNPCC7942_1831
SYNPCC7942_0706-MONOMER	precorrin decarboxylase		SYNPCC7942_0706
SYNPCC7942_2461-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2461
SYNPCC7942_1080-MONOMER	K+ transporter Trk	CCI-PM-BAC-NEG-GN	SYNPCC7942_1080
SYNPCC7942_1445-MONOMER	conserved hypothetical protein		SYNPCC7942_1445
SYNPCC7942_0325-MONOMER	allophycocyanin-associated core linker protein (L<sub>C</sub>)	CCI-THY-MEM-CYA-GN	SYNPCC7942_0325
SYNPCC7942_1815-MONOMER	response regulator receiver domain protein (CheY-like)	CCO-MEMBRANE	SYNPCC7942_1815
SYNPCC7942_0690-MONOMER	ClpS1 adaptor protein		SYNPCC7942_0690
SYNPCC7942_2445-MONOMER	SphX phosphate binding protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2445
SYNPCC7942_1064-MONOMER	type I restriction-modification, S subunit		SYNPCC7942_1064
SYNPCC7942_1429-MONOMER	conserved hypothetical protein		SYNPCC7942_1429
SYNPCC7942_0309-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit NdhF4	CCO-MEMBRANE	SYNPCC7942_0309
SYNPCC7942_1799-MONOMER	[NiFe]-hydrogenase maturation protein HypE		SYNPCC7942_1799
SYNPCC7942_0674-MONOMER	Coproporphyrinogen oxidase	CCI-CYTOSOL-GN	SYNPCC7942_0674
SYNPCC7942_2429-MONOMER	biopolymer transport ExbB like protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2429
SYNPCC7942_1044-MONOMER	flavin-dependent thymidylate synthase		SYNPCC7942_1044
SYNPCC7942_1413-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1413
SYNPCC7942_0293-MONOMER	conserved hypothetical protein		SYNPCC7942_0293
SYNPCC7942_1783-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1783
SYNPCC7942_0658-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0658
SYNPCC7942_2413-MONOMER	hypothetical protein		SYNPCC7942_2413
SYNPCC7942_1028-MONOMER	chlorophyllase 1		SYNPCC7942_1028
SYNPCC7942_1397-MONOMER	conserved hypothetical protein		SYNPCC7942_1397
SYNPCC7942_2410-MONOMER	conserved hypothetical protein		SYNPCC7942_2410
SYNPCC7942_1025-MONOMER	TPR repeat		SYNPCC7942_1025
SYNPCC7942_1394-MONOMER	PDZ/DHR/GLGF		SYNPCC7942_1394
SYNPCC7942_0274-MONOMER	conserved hypothetical protein		SYNPCC7942_0274
SYNPCC7942_1764-MONOMER	conserved hypothetical protein		SYNPCC7942_1764
SYNPCC7942_0642-MONOMER	peroxiredoxin PrxQ-B	CCO-MEMBRANE	SYNPCC7942_0642
SYNPCC7942_2394-MONOMER	Na+/H+ antiporter	CCO-MEMBRANE	SYNPCC7942_2394
SYNPCC7942_1009-MONOMER	transcriptional regulator, XRE family	CCO-MEMBRANE	SYNPCC7942_1009
SYNPCC7942_0258-MONOMER	conserved hypothetical protein		SYNPCC7942_0258
SYNPCC7942_1748-MONOMER	conserved hypothetical protein		SYNPCC7942_1748
SYNPCC7942_0626-MONOMER	dihydroxy-acid dehydratase		SYNPCC7942_0626
SYNPCC7942_2378-MONOMER	cell division protein FtsZ	CCI-CYTOSOL-GN	SYNPCC7942_2378
SYNPCC7942_0993-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0993
SYNPCC7942_1365-MONOMER	Multiple antibiotic resistance (MarC)-related proteins	CCI-PM-BAC-NEG-GN	SYNPCC7942_1365
SYNPCC7942_0242-MONOMER	K+-dependent Na+/Ca+ exchanger related-protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0242
SYNPCC7942_1732-MONOMER	conserved hypothetical protein		SYNPCC7942_1732
SYNPCC7942_0610-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0610
SYNPCC7942_2100-MONOMER	dTDP-glucose 4,6-dehydratase		SYNPCC7942_2100
SYNPCC7942_2362-MONOMER	<em>all</em>-<em>trans</em>-nonaprenyl-diphosphate synthase [geranyl-diphosphate specific]		SYNPCC7942_2362
SYNPCC7942_0977-MONOMER			SYNPCC7942_0977
SYNPCC7942_1349-MONOMER	conserved hypothetical protein		SYNPCC7942_1349
SYNPCC7942_0226-MONOMER	Sec-independent protein translocase TatA subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_0226
SYNPCC7942_1716-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	CCO-MEMBRANE	SYNPCC7942_1716
SYNPCC7942_0594-MONOMER	conserved hypothetical protein		SYNPCC7942_0594
SYNPCC7942_2084-MONOMER	Chlorophyll synthase	CCO-MEMBRANE	SYNPCC7942_2084
SYNPCC7942_2346-MONOMER	HAD-superfamily subfamily IA		SYNPCC7942_2346
SYNPCC7942_0961-MONOMER	cell envelope-related function transcriptional attenuator common domain		SYNPCC7942_0961
SYNPCC7942_1333-MONOMER	Queuosine biosynthesis protein		SYNPCC7942_1333
SYNPCC7942_0210-MONOMER	conserved hypothetical protein		SYNPCC7942_0210
SYNPCC7942_1700-MONOMER	GDP-fucose synthetase NAD dependent epimerase/dehydratase		SYNPCC7942_1700
SYNPCC7942_0578-MONOMER	UDP-sulfoquinovose synthase		SYNPCC7942_0578
SYNPCC7942_2068-MONOMER	conserved hypothetical protein		SYNPCC7942_2068
SYNPCC7942_2330-MONOMER	carboxyl-terminal protease		SYNPCC7942_2330
SYNPCC7942_0945-MONOMER	conserved hypothetical protein		SYNPCC7942_0945
SYNPCC7942_1317-MONOMER	ATPase		SYNPCC7942_1317
SYNPCC7942_0194-MONOMER	DNA polymerase I		SYNPCC7942_0194
SYNPCC7942_1684-MONOMER	transcriptional regulator CysR	CCI-CYTOSOL-GN	SYNPCC7942_1684
SYNPCC7942_0562-MONOMER	conserved hypothetical protein		SYNPCC7942_0562
SYNPCC7942_2052-MONOMER	probable oligopeptides ABC transporter permease protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2052
SYNPCC7942_2314-MONOMER	chaperonin GroES	CCI-CYTOSOL-GN	SYNPCC7942_2314
SYNPCC7942_0929-MONOMER	UDP-3-0-acyl N-acetylglucosamine deacetylase		SYNPCC7942_0929
SYNPCC7942_1301-MONOMER	ATP-dependent DNA helicase, RecQ family		SYNPCC7942_1301
SYNPCC7942_0178-MONOMER	ABC-type uncharacterized transport system, ATPase component		SYNPCC7942_0178
SYNPCC7942_1668-MONOMER	potassium-transporting ATPase, A subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_1668
SYNPCC7942_0546-MONOMER	Na+/H+ antiporter	CCO-MEMBRANE	SYNPCC7942_0546
SYNPCC7942_2036-MONOMER	conserved hypothetical protein		SYNPCC7942_2036
SYNPCC7942_2298-MONOMER	Holliday junction DNA helicase RuvA		SYNPCC7942_2298
SYNPCC7942_0913-MONOMER	N-acetyltransferase-like		SYNPCC7942_0913
SYNPCC7942_1285-MONOMER	molybdenum cofactor biosynthesis bifunctional protein BC		SYNPCC7942_1285
SYNPCC7942_0162-MONOMER	hypothetical protein		SYNPCC7942_0162
SYNPCC7942_1652-MONOMER	Radical SAM domain protein		SYNPCC7942_1652
SYNPCC7942_0530-MONOMER	4Fe-4S cluster binding	CCI-CYTOSOL-GN	SYNPCC7942_0530
SYNPCC7942_2020-MONOMER	translation initiation factor IF-2	CCI-CYTOSOL-GN	SYNPCC7942_2020
SYNPCC7942_2282-MONOMER	GAF sensor signal transduction histidine kinase		SYNPCC7942_2282
SYNPCC7942_0897-MONOMER	cell division topological specificity factor MinE		SYNPCC7942_0897
SYNPCC7942_B2651-MONOMER	site-specific recombinase	CCI-CYTOSOL-GN	SYNPCC7942_B2651
SYNPCC7942_1269-MONOMER	magnesium transporter	CCI-PM-BAC-NEG-GN	SYNPCC7942_1269
SYNPCC7942_0146-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0146
SYNPCC7942_1636-MONOMER	pterin-4a-carbinolamine dehydratase		SYNPCC7942_1636
SYNPCC7942_0514-MONOMER	conserved hypothetical protein		SYNPCC7942_0514
SYNPCC7942_2004-MONOMER	sigma-24 (FecI-like)		SYNPCC7942_2004
SYNPCC7942_2266-MONOMER	periplasmic polyamine-binding protein of ABC transporter	CCO-MEMBRANE	SYNPCC7942_2266
SYNPCC7942_0881-MONOMER	Prephenate dehydratase		SYNPCC7942_0881
SYNPCC7942_B2635-MONOMER	hypothetical protein		SYNPCC7942_B2635
SYNPCC7942_1253-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1253
SYNPCC7942_0130-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0130
SYNPCC7942_1620-MONOMER	ATPase		SYNPCC7942_1620
SYNPCC7942_0498-MONOMER	mannose-1-phosphate guanyltransferase		SYNPCC7942_0498
SYNPCC7942_1988-MONOMER	conserved hypothetical protein		SYNPCC7942_1988
SYNPCC7942_2250-MONOMER	DNA replication and repair protein RecF	CCI-CYTOSOL-GN	SYNPCC7942_2250
SYNPCC7942_0865-MONOMER	conserved hypothetical protein		SYNPCC7942_0865
SYNPCC7942_B2619-MONOMER	carbonic anhydrase		SYNPCC7942_B2619
SYNPCC7942_1237-MONOMER	nitrate transport ATP-binding subunit C	CCI-PM-BAC-NEG-GN	SYNPCC7942_1237
SYNPCC7942_0113-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0113
SYNPCC7942_1604-MONOMER	conserved hypothetical protein		SYNPCC7942_1604
SYNPCC7942_0482-MONOMER	penicillin-binding protein FtsI	CCO-MEMBRANE	SYNPCC7942_0482
SYNPCC7942_1972-MONOMER	TPR repeat		SYNPCC7942_1972
SYNPCC7942_2234-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit N	CCI-THY-MEM-CYA-GN	SYNPCC7942_2234
SYNPCC7942_0848-MONOMER	excinuclease ABC, A subunit	CCI-CYTOSOL-GN	SYNPCC7942_0848
SYNPCC7942_2602-MONOMER	cytochrome c oxidase subunit II	CCI-PM-BAC-NEG-GN	SYNPCC7942_2602
SYNPCC7942_1221-MONOMER	response regulator receiver domain protein (CheY-like)		SYNPCC7942_1221
SYNPCC7942_0097-MONOMER	Cobaltochelatase, CobN subunit		SYNPCC7942_0097
SYNPCC7942_1588-MONOMER	CBS-domain chloride channel protein	CCO-MEMBRANE	SYNPCC7942_1588
SYNPCC7942_0466-MONOMER	Cellulose synthase (UDP-forming)	CCO-MEMBRANE	SYNPCC7942_0466
SYNPCC7942_1956-MONOMER	acetyl-CoA carboxylase, carboxyl transferase &beta; subunit	CCI-CYTOSOL-GN	SYNPCC7942_1956
SYNPCC7942_2218-MONOMER	50S ribosomal subunit protein L6	CCI-RIBOSOME-GN	SYNPCC7942_2218
SYNPCC7942_0831-MONOMER	conserved hypothetical protein		SYNPCC7942_0831
SYNPCC7942_2586-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2586
SYNPCC7942_1205-MONOMER	phage_integrase-like		SYNPCC7942_1205
SYNPCC7942_0081-MONOMER	RNA-binding S4		SYNPCC7942_0081
SYNPCC7942_1572-MONOMER	dehydrogenase subunit-like protein		SYNPCC7942_1572
SYNPCC7942_0450-MONOMER	putative NifU-like protein	CCI-CYTOSOL-GN	SYNPCC7942_0450
SYNPCC7942_1940-MONOMER	putative membrane transporter	CCO-MEMBRANE	SYNPCC7942_1940
SYNPCC7942_2202-MONOMER	HNH nuclease		SYNPCC7942_2202
SYNPCC7942_0815-MONOMER	ATPase		SYNPCC7942_0815
SYNPCC7942_2570-MONOMER	tyrosyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_2570
SYNPCC7942_1189-MONOMER	molybdopterin-guanine dinucleotide biosynthesis protein A	CCI-CYTOSOL-GN	SYNPCC7942_1189
SYNPCC7942_0065-MONOMER	translation initiation factor IF-3	CCI-CYTOSOL-GN	SYNPCC7942_0065
SYNPCC7942_1556-MONOMER	conserved hypothetical protein		SYNPCC7942_1556
SYNPCC7942_0434-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0434
SYNPCC7942_1924-MONOMER	conserved hypothetical protein		SYNPCC7942_1924
SYNPCC7942_2186-MONOMER	probable Na+/H+-exchanging protein	CCO-MEMBRANE	SYNPCC7942_2186
SYNPCC7942_0799-MONOMER	Elongator protein 3		SYNPCC7942_0799
SYNPCC7942_2554-MONOMER	putative hydrogenase maturation protease HupW		SYNPCC7942_2554
SYNPCC7942_1173-MONOMER	conserved hypothetical protein		SYNPCC7942_1173
SYNPCC7942_0049-MONOMER	pilin polypeptide PilA-like	CCO-MEMBRANE	SYNPCC7942_0049
SYNPCC7942_1539-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1539
SYNPCC7942_0418-MONOMER	conserved hypothetical protein		SYNPCC7942_0418
SYNPCC7942_1908-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit V		SYNPCC7942_1908
SYNPCC7942_2170-MONOMER	putative ferric uptake regulator, FUR family		SYNPCC7942_2170
SYNPCC7942_0783-MONOMER	ATP phosphoribosyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_0783
SYNPCC7942_2538-MONOMER	ClpR	CCI-CYTOSOL-GN	SYNPCC7942_2538
SYNPCC7942_1157-MONOMER	conserved hypothetical protein		SYNPCC7942_1157
SYNPCC7942_0033-MONOMER	conserved hypothetical protein		SYNPCC7942_0033
SYNPCC7942_1523-MONOMER	DNA-directed RNA polymerase &gamma; subunit		SYNPCC7942_1523
SYNPCC7942_0402-MONOMER	Protein of unknown function UPF0054	CCI-CYTOSOL-GN	SYNPCC7942_0402
SYNPCC7942_1892-MONOMER	Rhodanese-like		SYNPCC7942_1892
SYNPCC7942_2154-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2154
SYNPCC7942_0767-MONOMER	conserved hypothetical protein		SYNPCC7942_0767
SYNPCC7942_2522-MONOMER	Glycerol-3-phosphate dehydrogenase (NAD(P)+)	CCI-CYTOSOL-GN	SYNPCC7942_2522
SYNPCC7942_1141-MONOMER	conserved hypothetical protein		SYNPCC7942_1141
SYNPCC7942_0017-MONOMER			SYNPCC7942_0017
SYNPCC7942_1507-MONOMER	lipoic acid synthetase	CCI-CYTOSOL-GN	SYNPCC7942_1507
SYNPCC7942_0386-MONOMER	conserved hypothetical protein	CCI-CYTOSOL-GN // CCO-MEMBRANE	SYNPCC7942_0386
SYNPCC7942_1876-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1876
SYNPCC7942_2138-MONOMER	conserved hypothetical protein		SYNPCC7942_2138
SYNPCC7942_0751-MONOMER	conserved hypothetical protein		SYNPCC7942_0751
SYNPCC7942_2506-MONOMER	phosphoadenosine phosphosulfate reductase	CCI-CYTOSOL-GN	SYNPCC7942_2506
SYNPCC7942_1125-MONOMER	putative CheA signal transduction histidine kinases, no good domain identification		SYNPCC7942_1125
SYNPCC7942_0001-MONOMER	DNA polymerase III, &beta; subunit	CCI-CYTOSOL-GN	SYNPCC7942_0001
SYNPCC7942_1490-MONOMER	bicarbonate transport ATP-binding subunit C		SYNPCC7942_1490
