Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
G12WB-431-MONOMER,ATPase,G12WB-431,
G12WB-750-MONOMER,membrane protein,G12WB-750,CCI-PM-BAC-POS-GP
G12WB-3059-MONOMER,tail fiber protein,G12WB-3059,
G12WB-1670-MONOMER,"ABC transporter, ATP-binding protein",G12WB-1670,
G12WB-357-MONOMER,basal-body rod modification protein FlgD,G12WB-357,
G12WB-2033-MONOMER,ECF RNA polymerase sigma factor CsfU,G12WB-2033,
G12WB-2372-MONOMER,hypothetical protein,G12WB-2372,
G12WB-1086-MONOMER,hypothetical protein,G12WB-1086,CCI-PM-BAC-POS-GP
G12WB-4229-MONOMER,RNA polymerase sigma-28 factor SigK,G12WB-4229,
G12WB-736-MONOMER,ferredoxin,G12WB-736,
G12WB-271-MONOMER,peptidase,G12WB-271,
G12WB-3044-MONOMER,"putative cellobiose-specifc PTS, enzyme IIB component",G12WB-3044,
G12WB-1654-MONOMER,MerR family transcriptional regulator,G12WB-1654,
G12WB-3555-MONOMER,ATPase,G12WB-3555,
G12WB-2017-MONOMER,oxidoreductase,G12WB-2017,
G12WB-2358-MONOMER,TetR family transcriptional regulator,G12WB-2358,
G12WB-1071-MONOMER,hypothetical protein,G12WB-1071,
G12WB-405-MONOMER,PfkB family ribokinase,G12WB-405,CCI-CYTOSOL-GP
G12WB-721-MONOMER,"ABC transporter, membrane protein",G12WB-721,CCI-PM-BAC-POS-GP
G12WB-2695-MONOMER,coenzyme A disulfide reductase,G12WB-2695,
G12WB-303-MONOMER,membrane-associated nucleotidase,G12WB-303,
G12WB-3364-MONOMER,multidrug efflux transporter Cme,G12WB-3364,CCI-PM-BAC-POS-GP
G12WB-1639-MONOMER,"multidrug family ABC transporter, ATP-binding protein",G12WB-1639,
G12WB-3540-MONOMER,hypothetical protein,G12WB-3540,CCI-PM-BAC-POS-GP
G12WB-2001-MONOMER,cell wall hydrolase,G12WB-2001,CCI-PM-BAC-POS-GP
G12WB-2343-MONOMER,maltose phosphorylase,G12WB-2343,
G12WB-1057-MONOMER,portal protein,G12WB-1057,
G12WB-389-MONOMER,"mannose-fructose-sorbose family PTS, enzyme IIA component",G12WB-389,CCI-PM-BAC-POS-GP
G12WB-706-MONOMER,hypothetical protein,G12WB-706,
G12WB-2680-MONOMER,recombination regulator RecX,G12WB-2680,CCI-CYTOSOL-GP
G12WB-3015-MONOMER,NAD(P)-binding oxidoreductase,G12WB-3015,
G12WB-335-MONOMER,flagellar hook-associated protein FlgL,G12WB-335,CCO-CELL-PROJECTION
G12WB-1624-MONOMER,hypothetical protein,G12WB-1624,
G12WB-3526-MONOMER,protease/amidase,G12WB-3526,
G12WB-1986-MONOMER,two-component sensor histidine kinase,G12WB-1986,CCI-PM-BAC-POS-GP
G12WB-2329-MONOMER,"cystine/amino acid family ABC transporter, ATP-binding protein",G12WB-2329,
G12WB-1042-MONOMER,hypothetical protein,G12WB-1042,
G12WB-3870-MONOMER,sporulation membrane protein SpoIIIJ,G12WB-3870,CCI-PM-BAC-POS-GP
G12WB-691-MONOMER,glyceraldehyde-3-phosphate dehydrogenase,G12WB-691,
G12WB-2666-MONOMER,"glucose-glucoside family PTS, enzyme IIA component",G12WB-2666,
G12WB-3000-MONOMER,serine--tRNA ligase,G12WB-3000,CCI-CYTOSOL-GP
G12WB-3335-MONOMER,protein-export membrane protein SecG,G12WB-3335,CCI-PM-BAC-POS-GP
G12WB-161-MONOMER,tRNA pseudouridine synthase A,G12WB-161,
G12WB-3511-MONOMER,conjugative transposon protein,G12WB-3511,CCI-PM-BAC-POS-GP
G12WB-1970-MONOMER,homoserine O-succinyltransferase,G12WB-1970,CCI-CYTOSOL-GP
G12WB-2314-MONOMER,hypothetical protein,G12WB-2314,CCI-PM-BAC-POS-GP
G12WB-1028-MONOMER,hypothetical protein,G12WB-1028,
G12WB-3855-MONOMER,30S ribosomal protein S6,G12WB-3855,CCI-RIBOSOME-GP
G12WB-675-MONOMER,epoxyqueuosine reductase,G12WB-675,CCI-CYTOSOL-GP
G12WB-2650-MONOMER,"selenide, water dikinase",G12WB-2650,
G12WB-2987-MONOMER,MarR family transcriptional regulator,G12WB-2987,
G12WB-3320-MONOMER,hypothetical protein,G12WB-3320,
G12WB-1596-MONOMER,5-nitroimidazole antibiotic resistance protein,G12WB-1596,
G12WB-3497-MONOMER,RNA polymerase sigma factor,G12WB-3497,
G12WB-1953-MONOMER,fructokinase,G12WB-1953,
G12WB-230-MONOMER,stage III sporulation protein D,G12WB-230,
G12WB-1013-MONOMER,DNA-binding protein,G12WB-1013,
G12WB-3837-MONOMER,"lactose-N,N'-diacetylchitobiose-&beta;-glucoside family PTS, enzyme IIC component",G12WB-3837,CCI-PM-BAC-POS-GP
G12WB-659-MONOMER,beta-lactams repressor,G12WB-659,
G12WB-2636-MONOMER,uracil-DNA glycosylase,G12WB-2636,CCI-CYTOSOL-GP
G12WB-1352-MONOMER,membrane protein,G12WB-1352,CCI-PM-BAC-POS-GP
G12WB-2972-MONOMER,"putative transporter, gluconate:H<sup>+</sup> symporter family",G12WB-2972,CCI-PM-BAC-POS-GP
G12WB-3306-MONOMER,DeoR family transcriptional regulator,G12WB-3306,
G12WB-1581-MONOMER,exported polysaccharide deacetylase,G12WB-1581,
G12WB-3482-MONOMER,oxidoreductase Fe-S subunit,G12WB-3482,
G12WB-1937-MONOMER,exonuclease,G12WB-1937,
G12WB-2285-MONOMER,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,G12WB-2285,
G12WB-10-MONOMER,serine-protein kinase RsbW,G12WB-10,
G12WB-3822-MONOMER,membrane protein,G12WB-3822,CCI-PM-BAC-POS-GP
G12WB-643-MONOMER,DeoR family transcriptional regulator,G12WB-643,
G12WB-2621-MONOMER,tRNA-nucleotidyltransferase/poly(A) polymerase family protein,G12WB-2621,
G12WB-1338-MONOMER,1-deoxy-D-xylulose-5-phosphate synthase,G12WB-1338,
G12WB-2958-MONOMER,cell wall protein 8,G12WB-2958,
G12WB-985-MONOMER,"sugar-family ABC transporter, ATP-binding subunit",G12WB-985,
G12WB-3291-MONOMER,beta-phosphoglucomutase,G12WB-3291,
G12WB-1567-MONOMER,acyl-CoA N-acyltransferase,G12WB-1567,
G12WB-3468-MONOMER,Lon protease,G12WB-3468,CCI-CYTOSOL-GP
G12WB-1922-MONOMER,"amino acid family ABC transporter, membrane subunit",G12WB-1922,CCI-PM-BAC-POS-GP
G12WB-2270-MONOMER,hypothetical protein,G12WB-2270,
G12WB-3808-MONOMER,hypothetical protein,G12WB-3808,
G12WB-626-MONOMER,hypothetical protein,G12WB-626,CCI-PM-BAC-POS-GP
G12WB-2606-MONOMER,CRISPR-associated protein,G12WB-2606,
G12WB-1323-MONOMER,stage III sporulation protein AA,G12WB-1323,
G12WB-2943-MONOMER,putative N-acetylmuramoyl-L-alanine amidase,G12WB-2943,
G12WB-970-MONOMER,"putative maltose-specific PTS, enzyme IIC component",G12WB-970,CCI-PM-BAC-POS-GP
G12WB-3277-MONOMER,6-phospho-beta-glucosidase,G12WB-3277,
G12WB-1552-MONOMER,oxidoreductase Fe-S subunit,G12WB-1552,
G12WB-3453-MONOMER,"putative transporter, phosphate:Na<sup>+</sup> symporter family",G12WB-3453,CCI-PM-BAC-POS-GP
G12WB-1908-MONOMER,hypothetical protein,G12WB-1908,
G12WB-2256-MONOMER,"ABC transporter, membrane protein",G12WB-2256,CCI-PM-BAC-POS-GP
G12WB-3793-MONOMER,ferredoxin,G12WB-3793,
G12WB-610-MONOMER,replication initiation factor,G12WB-610,
G12WB-2591-MONOMER,cytidine deaminase,G12WB-2591,
G12WB-1309-MONOMER,phosphate acyltransferase,G12WB-1309,CCI-CYTOSOL-GP
G12WB-2929-MONOMER,group 1 glycosyl transferase,G12WB-2929,
G12WB-955-MONOMER,nuclease,G12WB-955,
G12WB-3262-MONOMER,C4-dicarboxylate anaerobic carrier,G12WB-3262,CCI-PM-BAC-POS-GP
G12WB-1538-MONOMER,isochorismatase,G12WB-1538,
G12WB-3439-MONOMER,membrane protein,G12WB-3439,CCI-PM-BAC-POS-GP
G12WB-1893-MONOMER,2-hydroxyacyl-CoA dehydratase,G12WB-1893,
G12WB-2241-MONOMER,metal-dependent hydrolase,G12WB-2241,
G12WB-3779-MONOMER,orotidine 5'-phosphate decarboxylase,G12WB-3779,
G12WB-595-MONOMER,"ABC transporter, membrane protein",G12WB-595,CCI-PM-BAC-POS-GP
G12WB-2577-MONOMER,butyrate kinase,G12WB-2577,CCI-CYTOSOL-GP
G12WB-1294-MONOMER,GTPase Obg,G12WB-1294,CCI-CYTOSOL-GP
G12WB-2914-MONOMER,PTS enzyme I,G12WB-2914,CCI-CYTOSOL-GP
G12WB-940-MONOMER,putative solute:Na<sup>+</sup> symporter,G12WB-940,CCI-PM-BAC-POS-GP
G12WB-3248-MONOMER,RpiR family transcriptional regulator,G12WB-3248,
G12WB-1523-MONOMER,putative metal ion transporter,G12WB-1523,CCI-PM-BAC-POS-GP
G12WB-3424-MONOMER,hypothetical protein,G12WB-3424,
G12WB-1877-MONOMER,uroporphyrinogen decarboxylase,G12WB-1877,
G12WB-2227-MONOMER,hypothetical protein,G12WB-2227,
G12WB-3764-MONOMER,methionine gamma-lyase,G12WB-3764,
G12WB-579-MONOMER,HAD superfamily hydrolase,G12WB-579,
G12WB-2562-MONOMER,PEP synthetase regulatory protein,G12WB-2562,
G12WB-128-MONOMER,50S ribosomal protein L4,G12WB-128,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G12WB-290-MONOMER,dihydroorotate dehydrogenase electron transfer subunit,G12WB-290,
G12WB-926-MONOMER,glucose-glucoside family PTS enzyme II (disrupted IStron),G12WB-926,
G12WB-3233-MONOMER,hypothetical protein,G12WB-3233,
G12WB-1509-MONOMER,XkdT-like protein,G12WB-1509,
G12WB-341-MONOMER,hypothetical protein,G12WB-341,CCI-CYTOSOL-GP
G12WB-1861-MONOMER,hypothetical protein,G12WB-1861,
G12WB-2212-MONOMER,hypothetical protein,G12WB-2212,
G12WB-375-MONOMER,flagellar motor switch protein FliM,G12WB-375,CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION
G12WB-563-MONOMER,NUDIX family hydrolase,G12WB-563,
G12WB-2548-MONOMER,exonuclease,G12WB-2548,
G12WB-1264-MONOMER,lactoylglutathione lyase,G12WB-1264,
G12WB-2885-MONOMER,membrane protein,G12WB-2885,CCI-PM-BAC-POS-GP
G12WB-911-MONOMER,3-hydroxybutyryl-CoA dehydratase,G12WB-911,
G12WB-3219-MONOMER,"glucose-glucoside family PTS, enzyme IIA component",G12WB-3219,
G12WB-1494-MONOMER,hypothetical protein,G12WB-1494,
G12WB-3395-MONOMER,membrane protein,G12WB-3395,CCI-PM-BAC-POS-GP
G12WB-1845-MONOMER,thiamine biosynthesis protein ThiS,G12WB-1845,
G12WB-2199-MONOMER,rRNA methylase,G12WB-2199,
G12WB-3732-MONOMER,arginine decarboxylase,G12WB-3732,
G12WB-547-MONOMER,recombinase,G12WB-547,
G12WB-2533-MONOMER,sigma-54 dependent transcriptional regulator,G12WB-2533,
G12WB-1249-MONOMER,transcriptional regulator,G12WB-1249,
G12WB-2868-MONOMER,UTP--glucose-1-phosphate uridylyltransferase,G12WB-2868,
G12WB-898-MONOMER,metal-binding protein,G12WB-898,
G12WB-3204-MONOMER,membrane protein,G12WB-3204,CCI-PM-BAC-POS-GP
G12WB-148-MONOMER,adenylate kinase,G12WB-148,CCI-CYTOSOL-GP
G12WB-3380-MONOMER,AraC family transcriptional regulator,G12WB-3380,
G12WB-1829-MONOMER,hypothetical protein,G12WB-1829,
G12WB-2184-MONOMER,peptidylarginine deiminase,G12WB-2184,
G12WB-3718-MONOMER,phosphonate metabolism protein,G12WB-3718,
G12WB-531-MONOMER,DNA/RNA helicase,G12WB-531,CCI-CYTOSOL-GP
G12WB-2519-MONOMER,hypothetical protein,G12WB-2519,
G12WB-1234-MONOMER,cell surface protein,G12WB-1234,CCI-PM-BAC-POS-GP
G12WB-2853-MONOMER,sigma-54 dependent transcriptional regulator,G12WB-2853,
G12WB-882-MONOMER,anti-sigma F factor,G12WB-882,
G12WB-319-MONOMER,transposase IS200/IS605-like OrfB,G12WB-319,
G12WB-1465-MONOMER,UvrD/REP type DNA helicase,G12WB-1465,
G12WB-1813-MONOMER,two-component response regulator,G12WB-1813,
G12WB-217-MONOMER,butyrate kinase,G12WB-217,CCI-CYTOSOL-GP
G12WB-3703-MONOMER,hypothetical protein,G12WB-3703,
G12WB-515-MONOMER,replication initiation protein,G12WB-515,
G12WB-2503-MONOMER,glycine/sarcosine/betaine reductase complex protein A,G12WB-2503,CCI-CYTOSOL-GP
G12WB-122-MONOMER,30S ribosomal protein S12,G12WB-122,CCI-RIBOSOME-GP
G12WB-2839-MONOMER,hypothetical protein,G12WB-2839,
G12WB-867-MONOMER,cell surface protein,G12WB-867,CCI-PM-BAC-POS-GP
G12WB-3175-MONOMER,HxlR family transcriptional regulator,G12WB-3175,
G12WB-1450-MONOMER,hypothetical protein,G12WB-1450,
G12WB-1798-MONOMER,glycine dehydrogenase subunit 2,G12WB-1798,
G12WB-2155-MONOMER,rRNA adenine N-6-methyltransferase,G12WB-2155,
G12WB-3689-MONOMER,type IV pilin,G12WB-3689,CCI-PM-BAC-POS-GP
G12WB-249-MONOMER,S1 RNA-binding domain-containing protein,G12WB-249,
G12WB-1205-MONOMER,molybdopterin-guanine dinucleotide biosynthesis protein MobB,G12WB-1205,
G12WB-2824-MONOMER,"putative oligopeptide ABC transporter, membrane subunit",G12WB-2824,CCI-PM-BAC-POS-GP
G12WB-502-MONOMER,2-hydroxyisocaproyl-CoA dehydratase activator,G12WB-502,
G12WB-851-MONOMER,pyridoxal phosphate-dependent aminotransferase,G12WB-851,
G12WB-3160-MONOMER,ribonucleoside-diphosphate reductase subunit alpha,G12WB-3160,
G12WB-1436-MONOMER,hypothetical protein,G12WB-1436,
G12WB-1781-MONOMER,hypothetical protein,G12WB-1781,
G12WB-2140-MONOMER,hypothetical protein,G12WB-2140,
G12WB-3674-MONOMER,membrane protein,G12WB-3674,CCI-PM-BAC-POS-GP
G12WB-2475-MONOMER,sugar-phosphate dehydrogenase,G12WB-2475,
G12WB-1190-MONOMER,exosporium cysteine-rich protein,G12WB-1190,CCI-CW-BAC-POS-GP
G12WB-281-MONOMER,oxidoreductase Fe-S subunit,G12WB-281,
G12WB-487-MONOMER,replication initiation factor,G12WB-487,
G12WB-837-MONOMER,bifunctional carbon monoxide dehydrogenase/synthase complex subunit gamma,G12WB-837,
G12WB-3146-MONOMER,CRISPR-associated protein,G12WB-3146,
G12WB-1420-MONOMER,hypothetical protein,G12WB-1420,
G12WB-1765-MONOMER,D-alanine--D-serine ligase,G12WB-1765,CCI-CYTOSOL-GP
G12WB-2126-MONOMER,membrane protein,G12WB-2126,CCI-PM-BAC-POS-GP
G12WB-366-MONOMER,bifunctional flagellar biosynthesis protein FliR/FlhB,G12WB-366,CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION
G12WB-2460-MONOMER,HTH-type transcriptional regulator,G12WB-2460,
G12WB-1176-MONOMER,electron transfer flavoprotein subunit alpha,G12WB-1176,
G12WB-2794-MONOMER,sporulation sigma factor SigE,G12WB-2794,
G12WB-471-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-471,CCI-PM-BAC-POS-GP
G12WB-822-MONOMER,hypothetical protein,G12WB-822,
G12WB-3131-MONOMER,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,G12WB-3131,
G12WB-1406-MONOMER,magnesium chelatase,G12WB-1406,
G12WB-1749-MONOMER,hypothetical protein,G12WB-1749,CCI-PM-BAC-POS-GP
G12WB-2110-MONOMER,membrane protein,G12WB-2110,CCI-PM-BAC-POS-GP
G12WB-3645-MONOMER,hypothetical protein,G12WB-3645,
G12WB-2445-MONOMER,membrane protein,G12WB-2445,CCI-PM-BAC-POS-GP
G12WB-1161-MONOMER,nuclease SbcCD subunit D,G12WB-1161,
G12WB-278-MONOMER,ferredoxin,G12WB-278,
G12WB-458-MONOMER,hypothetical protein,G12WB-458,
G12WB-808-MONOMER,tRNA/rRNA methyltransferase SpoU,G12WB-808,CCI-CYTOSOL-GP
G12WB-3117-MONOMER,"iron family ABC transporter, substrate-binding protein",G12WB-3117,
G12WB-1391-MONOMER,50S ribosomal protein L19,G12WB-1391,CCI-RIBOSOME-GP
G12WB-1733-MONOMER,serine acetyltransferase,G12WB-1733,CCI-CYTOSOL-GP
G12WB-2095-MONOMER,hypothetical protein,G12WB-2095,
G12WB-3630-MONOMER,carbohydrate/purine kinase; putative tagatose-6-phosphate kinase LacC,G12WB-3630,
G12WB-2430-MONOMER,class II aldolase,G12WB-2430,
G12WB-1143-MONOMER,signaling protein,G12WB-1143,CCI-PM-BAC-POS-GP
G12WB-2765-MONOMER,hypothetical protein,G12WB-2765,
G12WB-4489-MONOMER,cell wall protein 24,G12WB-4489,
G12WB-794-MONOMER,translation initiation factor IF-3,G12WB-794,CCI-CYTOSOL-GP
G12WB-3102-MONOMER,hypothetical protein,G12WB-3102,
G12WB-1377-MONOMER,hypothetical protein,G12WB-1377,
G12WB-1717-MONOMER,homoserine dehydrogenase,G12WB-1717,
G12WB-2079-MONOMER,acetyl-CoA carboxylase carboxyl transferase subunit beta,G12WB-2079,CCI-CYTOSOL-GP
G12WB-3616-MONOMER,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,G12WB-3616,
G12WB-2416-MONOMER,M24 family peptidase,G12WB-2416,
G12WB-1129-MONOMER,two-component sensor histidine kinase,G12WB-1129,CCI-PM-BAC-POS-GP
G12WB-2750-MONOMER,"pristinamycin/multidrug family ABC transporter, ATP-binding protein",G12WB-2750,
G12WB-443-MONOMER,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,G12WB-443,
G12WB-78-MONOMER,class III stress response-related ATPase,G12WB-78,
G12WB-3088-MONOMER,hypothetical protein,G12WB-3088,
G12WB-1362-MONOMER,lipoprotein,G12WB-1362,
G12WB-1701-MONOMER,hypothetical protein,G12WB-1701,
G12WB-2062-MONOMER,"ethanolamine carboxysome structural protein, BMC family",G12WB-2062,
G12WB-3601-MONOMER,cobalt-precorrin-3B C(17)-methyltransferase,G12WB-3601,
G12WB-2401-MONOMER,hypothetical protein,G12WB-2401,
G12WB-1114-MONOMER,"putative nitrate/sulfonate/taurine ABC transporter, substrate-binding protein",G12WB-1114,
G12WB-2736-MONOMER,dual-specificity RNA methyltransferase,G12WB-2736,CCI-CYTOSOL-GP
G12WB-436-MONOMER,"putative cobalt-specific ECF transporter, ATP binding component",G12WB-436,CCI-PM-BAC-POS-GP
G12WB-765-MONOMER,putative chloride ion channel,G12WB-765,CCI-PM-BAC-POS-GP
G12WB-3073-MONOMER,hypothetical protein,G12WB-3073,
G12WB-1683-MONOMER,hypothetical protein,G12WB-1683,
G12WB-3581-MONOMER,iron-only hydrogenase catalytic subunit HymC-like protein,G12WB-3581,
G12WB-2046-MONOMER,transcriptional regulator,G12WB-2046,CCI-PM-BAC-POS-GP
G12WB-2385-MONOMER,putative formate/nitrite transporter,G12WB-2385,CCI-PM-BAC-POS-GP
G12WB-1098-MONOMER,HAD superfamily hydrolase,G12WB-1098,CCI-PM-BAC-POS-GP
G12WB-2719-MONOMER,hypothetical protein,G12WB-2719,
G12WB-430-MONOMER,hypothetical protein,G12WB-430,
G12WB-748-MONOMER,hypothetical protein,G12WB-748,
G12WB-3056-MONOMER,hypothetical protein,G12WB-3056,CCI-PM-BAC-POS-GP
G12WB-1667-MONOMER,"ABC transporter, membrane protein",G12WB-1667,
G12WB-3567-MONOMER,23S rRNA (uracil-5-)-methyltransferase RumA,G12WB-3567,
G12WB-2030-MONOMER,hypothetical protein,G12WB-2030,
G12WB-237-MONOMER,phosphoribosyl transferase,G12WB-237,
G12WB-1083-MONOMER,hypothetical protein,G12WB-1083,
G12WB-418-MONOMER,ArsR family transcriptional regulator,G12WB-418,
G12WB-733-MONOMER,hypothetical protein,G12WB-733,
G12WB-2707-MONOMER,hypothetical protein,G12WB-2707,
G12WB-3041-MONOMER,cellobiose-phosphate degrading protein,G12WB-3041,
G12WB-1651-MONOMER,putative ketopantoate reductase,G12WB-1651,
G12WB-3552-MONOMER,conjugative transposon protein,G12WB-3552,
G12WB-2014-MONOMER,conjugative transposon protein,G12WB-2014,
G12WB-2355-MONOMER,histidinol-phosphate aminotransferase,G12WB-2355,
G12WB-1069-MONOMER,hypothetical protein,G12WB-1069,
G12WB-402-MONOMER,hypothetical protein,G12WB-402,
G12WB-719-MONOMER,two-component sensor histidine kinase,G12WB-719,CCI-PM-BAC-POS-GP
G12WB-2692-MONOMER,membrane-associated 5'-nucleotidase/phosphoesterase,G12WB-2692,CCI-PM-BAC-POS-GP
G12WB-3027-MONOMER,regulatory protease,G12WB-3027,
G12WB-3361-MONOMER,UvrABC system protein A,G12WB-3361,
G12WB-1636-MONOMER,transposase-like protein B,G12WB-1636,
G12WB-3538-MONOMER,zinc finger protein,G12WB-3538,
G12WB-1999-MONOMER,conjugative transposon protein,G12WB-1999,CCI-PM-BAC-POS-GP
G12WB-2340-MONOMER,hypothetical protein,G12WB-2340,
G12WB-1054-MONOMER,hypothetical protein,G12WB-1054,
G12WB-3882-MONOMER,hypothetical protein,G12WB-3882,
G12WB-703-MONOMER,ATPase,G12WB-703,CCI-PM-BAC-POS-GP
G12WB-2678-MONOMER,hydrolase,G12WB-2678,
G12WB-3012-MONOMER,D-alanyl transferase DltB,G12WB-3012,CCI-PM-BAC-POS-GP
G12WB-3347-MONOMER,chlorohydrolase/aminohydrolase,G12WB-3347,
G12WB-1621-MONOMER,"sulfonate family ABC transporter, substrate-binding protein",G12WB-1621,CCI-PM-BAC-POS-GP
G12WB-3523-MONOMER,tRNA-binding protein,G12WB-3523,
G12WB-1983-MONOMER,shikimate kinase,G12WB-1983,CCI-CYTOSOL-GP
G12WB-2326-MONOMER,hydroxylamine reductase,G12WB-2326,CCI-CYTOSOL-GP
G12WB-104-MONOMER,hypothetical protein,G12WB-104,
G12WB-3868-MONOMER,tRNA modification GTPase TrmE,G12WB-3868,CCI-CYTOSOL-GP
G12WB-688-MONOMER,hypothetical protein,G12WB-688,
G12WB-2663-MONOMER,glycoside hydrolase,G12WB-2663,
G12WB-2999-MONOMER,two-component sensor histidine kinase,G12WB-2999,CCI-PM-BAC-POS-GP
G12WB-3332-MONOMER,phosphatidylethanolamine-binding regulatory protein,G12WB-3332,
G12WB-1607-MONOMER,rhodanese-like domain-containing protein,G12WB-1607,
G12WB-3509-MONOMER,antirestriction protein,G12WB-3509,
G12WB-1967-MONOMER,hypothetical protein,G12WB-1967,
G12WB-2311-MONOMER,ATP/GTP-binding protein,G12WB-2311,
G12WB-1025-MONOMER,recombination protein Bet,G12WB-1025,
G12WB-3852-MONOMER,hypothetical protein,G12WB-3852,
G12WB-672-MONOMER,endonuclease IV,G12WB-672,
G12WB-2648-MONOMER,selenocysteinyl-tRNA-specific translation factor,G12WB-2648,CCI-CYTOSOL-GP
G12WB-2984-MONOMER,hypothetical protein,G12WB-2984,
G12WB-3318-MONOMER,Fic/Doc-related protein,G12WB-3318,
G12WB-1593-MONOMER,SAM-dependent methyltransferase,G12WB-1593,
G12WB-3494-MONOMER,conjugative transposon protein,G12WB-3494,
G12WB-1950-MONOMER,cell wall protein 23,G12WB-1950,
G12WB-2297-MONOMER,30S ribosomal protein S2,G12WB-2297,CCI-RIBOSOME-GP
G12WB-1010-MONOMER,cation efflux protein,G12WB-1010,CCI-PM-BAC-POS-GP
G12WB-3834-MONOMER,"putative lichenan-specific PTS, enzyme IIA component",G12WB-3834,
G12WB-656-MONOMER,ornithine cyclodeaminase,G12WB-656,
G12WB-2633-MONOMER,MBL fold metallo-hydolase,G12WB-2633,
G12WB-135-MONOMER,50S ribosomal protein L29,G12WB-135,CCI-RIBOSOME-GP
G12WB-297-MONOMER,cardiolipin synthetase 1,G12WB-297,CCI-PM-BAC-POS-GP
G12WB-997-MONOMER,S-adenosylmethionine decarboxylase,G12WB-997,
G12WB-3303-MONOMER,membrane protein,G12WB-3303,CCI-PM-BAC-POS-GP
G12WB-1579-MONOMER,MORN repeat-containing protein,G12WB-1579,
G12WB-348-MONOMER,flagellar basal-body rod protein FlgB,G12WB-348,CCO-CELL-PROJECTION
G12WB-1934-MONOMER,MerR family transcriptional regulator,G12WB-1934,
G12WB-2282-MONOMER,membrane protein,G12WB-2282,CCI-PM-BAC-POS-GP
G12WB-382-MONOMER,hypothetical protein,G12WB-382,
G12WB-640-MONOMER,amidohydrolase,G12WB-640,
G12WB-2619-MONOMER,oxygen-independent coproporphyrinogen-III oxidase,G12WB-2619,CCI-CYTOSOL-GP
G12WB-1335-MONOMER,exodeoxyribonuclease VII small subunit,G12WB-1335,CCI-CYTOSOL-GP
G12WB-2955-MONOMER,cell wall protein 10,G12WB-2955,
G12WB-982-MONOMER,"sugar-family ABC transporter, ATP-binding subunit",G12WB-982,
G12WB-3289-MONOMER,PTS operon transcription antiterminator,G12WB-3289,
G12WB-1564-MONOMER,putative magnesium transporter,G12WB-1564,CCI-PM-BAC-POS-GP
G12WB-3465-MONOMER,ATP/GTP-binding protein,G12WB-3465,
G12WB-192-MONOMER,anaerobic ribonucleoside triphosphate reductase,G12WB-192,
G12WB-2268-MONOMER,putative Cu<sup>2+</sup>-exporting P-type ATPase,G12WB-2268,CCI-PM-BAC-POS-GP
G12WB-3805-MONOMER,acyl-CoA N-acyltransferase,G12WB-3805,
G12WB-623-MONOMER,conjugative transposon protein,G12WB-623,
G12WB-2603-MONOMER,rRNA small subunit methyltransferase E,G12WB-2603,CCI-CYTOSOL-GP
G12WB-1320-MONOMER,putative amino acid/polyamine transporter,G12WB-1320,CCI-PM-BAC-POS-GP
G12WB-2940-MONOMER,lipid II flippase MurJ,G12WB-2940,CCI-PM-BAC-POS-GP
G12WB-968-MONOMER,hypothetical protein,G12WB-968,
G12WB-3274-MONOMER,peptidase,G12WB-3274,
G12WB-155-MONOMER,30S ribosomal protein S4,G12WB-155,CCI-RIBOSOME-GP
G12WB-3450-MONOMER,pyruvate formate-lyase activating enzyme,G12WB-3450,
G12WB-1905-MONOMER,SAM-dependent methyltransferase,G12WB-1905,
G12WB-2253-MONOMER,xanthine dehydrogenase FAD-binding subunit XdhB,G12WB-2253,
G12WB-3790-MONOMER,phosphoesterase,G12WB-3790,CCI-PM-BAC-POS-GP
G12WB-607-MONOMER,conjugative transposon protein,G12WB-607,
G12WB-2589-MONOMER,putative divalent cation transporter,G12WB-2589,CCI-PM-BAC-POS-GP
G12WB-1306-MONOMER,hypothetical protein,G12WB-1306,
G12WB-2926-MONOMER,,G12WB-2926,
G12WB-952-MONOMER,hypothetical protein,G12WB-952,
G12WB-326-MONOMER,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,G12WB-326,
G12WB-1535-MONOMER,peptidase,G12WB-1535,
G12WB-3436-MONOMER,oligoendopeptidase F,G12WB-3436,
G12WB-1890-MONOMER,putative glutamate:Na<sup>+</sup> symporter,G12WB-1890,CCI-PM-BAC-POS-GP
G12WB-2239-MONOMER,xanthine dehydrogenase,G12WB-2239,
G12WB-3776-MONOMER,carbamoyl-phosphate synthase small subunit,G12WB-3776,
G12WB-592-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-592,CCI-PM-BAC-POS-GP
G12WB-2574-MONOMER,"putative transporter, major facilitator superfamily",G12WB-2574,CCI-PM-BAC-POS-GP
G12WB-1291-MONOMER,50S ribosomal protein L21,G12WB-1291,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
