Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
FY484_RS06585-MONOMER	CoA pyrophosphatase	FY484_RS06585	
FY484_RS00340-MONOMER	thiamine phosphate synthase	FY484_RS00340	CCI-CYTOSOL-GN
FY484_RS16195-MONOMER	type II toxin-antitoxin system RelB3 antitoxin	FY484_RS16195	
FY484_RS08540-MONOMER	YdcF family protein	FY484_RS08540	CCI-PM-BAC-NEG-GN
FY484_RS18240-MONOMER	outer membrane transport protein	FY484_RS18240	CCI-OUTER-MEM-GN
FY484_RS09925-MONOMER	ATP-dependent DNA helicase	FY484_RS09925	
FY484_RS02500-MONOMER	Holliday junction resolvase RuvX	FY484_RS02500	CCI-CYTOSOL-GN
FY484_RS11905-MONOMER	protein translocation ATPase	FY484_RS11905	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
FY484_RS04535-MONOMER	YaiI/YqxD family protein	FY484_RS04535	
FY484_RS13915-MONOMER	type VI secretion system inner tube protein Hcp-2	FY484_RS13915	
FY484_RS06500-MONOMER	6-phospho-beta-glucosidase	FY484_RS06500	
FY484_RS00230-MONOMER	methionyl-tRNA formyltransferase	FY484_RS00230	CCI-CYTOSOL-GN
FY484_RS16090-MONOMER	DUF3465 domain-containing protein	FY484_RS16090	
FY484_RS08445-MONOMER	ABC transporter membrane protein	FY484_RS08445	CCI-PM-BAC-NEG-GN
FY484_RS18155-MONOMER	glyceraldehyde-3-phosphate dehydrogenase	FY484_RS18155	
FY484_RS09845-MONOMER	1,4-dihydroxy-2-naphthoyl-CoA synthase	FY484_RS09845	CCI-CYTOSOL-GN
FY484_RS02420-MONOMER	peptidoglycan lytic transglycosylase MltC	FY484_RS02420	CCO-MEMBRANE
FY484_RS11820-MONOMER	DUF1499 domain-containing protein	FY484_RS11820	
FY484_RS04450-MONOMER	hypothetical protein	FY484_RS04450	CCO-MEMBRANE
FY484_RS13820-MONOMER	chromosome 1 partion protein B	FY484_RS13820	
FY484_RS06415-MONOMER	murein L,D-transpeptidase LdtA	FY484_RS06415	
FY484_RS00145-MONOMER	dihydroxy-acid dehydratase	FY484_RS00145	CCI-CYTOSOL-GN
FY484_RS15975-MONOMER	DUF645 family protein	FY484_RS15975	
FY484_RS08365-MONOMER	ABC transporter membrane protein	FY484_RS08365	CCI-PM-BAC-NEG-GN
FY484_RS18070-MONOMER	ectoine synthase	FY484_RS18070	
FY484_RS02295-MONOMER	putative transporter, amino acid-polyamine-organocation family	FY484_RS02295	CCI-PM-BAC-NEG-GN
FY484_RS11740-MONOMER	autonomous glycyl radical cofactor GrcA	FY484_RS11740	CCI-CYTOSOL-GN
FY484_RS04350-MONOMER	RDD family protein	FY484_RS04350	CCO-MEMBRANE
FY484_RS13740-MONOMER	TrkH family potassium transport protein	FY484_RS13740	CCI-PM-BAC-NEG-GN
FY484_RS06325-MONOMER	DUF3943 domain-containing protein	FY484_RS06325	
FY484_RS00050-MONOMER	amino acid ABC transporter substrate-binding protein	FY484_RS00050	CCI-PERI-BAC-GN
FY484_RS15850-MONOMER	DUF3709 domain-containing protein	FY484_RS15850	
FY484_RS08280-MONOMER	hypothetical protein	FY484_RS08280	
FY484_RS17985-MONOMER	DEAD/DEAH box helicase	FY484_RS17985	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
FY484_RS02210-MONOMER	rod shape-determining protein MreC	FY484_RS02210	CCI-PM-BAC-NEG-GN
FY484_RS11660-MONOMER	cyclic di-GMP receptor PlzC	FY484_RS11660	
FY484_RS04270-MONOMER	toxin-coregulated pilus biosynthesis regulator	FY484_RS04270	CCI-PM-BAC-NEG-GN
FY484_RS06245-MONOMER	LrgB family protein	FY484_RS06245	CCO-MEMBRANE
FY484_RS13605-MONOMER	D-tyrosyl-tRNA(Tyr) deacylase	FY484_RS13605	CCI-CYTOSOL-GN
FY484_RS15740-MONOMER	hypothetical protein	FY484_RS15740	CCO-MEMBRANE
FY484_RS08195-MONOMER	ABC transporter ATP-binding protein	FY484_RS08195	CCI-PM-BAC-NEG-GN
FY484_RS02130-MONOMER	mannose-sensitive hemagglutinin, biogenesis protein MshJ	FY484_RS02130	CCO-MEMBRANE
FY484_RS11580-MONOMER	LysR family transcriptional regulator	FY484_RS11580	
FY484_RS04170-MONOMER	ferredoxin family protein	FY484_RS04170	
FY484_RS06135-MONOMER	nucleotidyltransferase domain-containing protein	FY484_RS06135	
FY484_RS13525-MONOMER	type II secretion system inner membrane protein GspM	FY484_RS13525	CCI-PM-BAC-NEG-GN
FY484_RS15625-MONOMER	GrpB family protein	FY484_RS15625	
FY484_RS08105-MONOMER	putative pilotin	FY484_RS08105	
FY484_RS17820-MONOMER	DEAD/DEAH box helicase	FY484_RS17820	CCI-CYTOSOL-GN
FY484_RS02020-MONOMER	hypothetical protein	FY484_RS02020	
FY484_RS17805-MONOMER	low-specificity L-threonine aldolase	FY484_RS17805	CCI-CYTOSOL-GN
FY484_RS02005-MONOMER	tRNA dihydrouridine(20/20a) synthase DusA	FY484_RS02005	
FY484_RS11480-MONOMER	peptidylprolyl isomerase	FY484_RS11480	
FY484_RS04075-MONOMER	putative transporter, alanine/glycine:cation symporter family	FY484_RS04075	CCI-PM-BAC-NEG-GN
FY484_RS06035-MONOMER	hypothetical protein	FY484_RS06035	
CPLX0-8568	uridylyl-[protein PII-1]		
FY484_RS13425-MONOMER	K<sup>+</sup>:H<sup>+</sup> antiporter NhaP2	FY484_RS13425	CCI-PM-BAC-NEG-GN
CPLX0-8570	uridylyl-[protein PII-2]		
FY484_RS15515-MONOMER	general secretion pathway protein GspI	FY484_RS15515	
FY484_RS08000-MONOMER	galactokinase	FY484_RS08000	CCI-CYTOSOL-GN
FY484_RS01940-MONOMER	bacterioferritin	FY484_RS01940	CCI-CYTOSOL-GN
FY484_RS17710-MONOMER	anaerobic glycerol-3-phosphate dehydrogenase subunit A	FY484_RS17710	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
FY484_RS11400-MONOMER	succinylglutamate desuccinylase/aspartoacylase family protein	FY484_RS11400	
FY484_RS03990-MONOMER	exodeoxyribonuclease VII large subunit	FY484_RS03990	CCI-CYTOSOL-GN
FY484_RS05955-MONOMER	anthranilate synthase subunit TrpD	FY484_RS05955	CCI-CYTOSOL-GN
FY484_RS13340-MONOMER	methylenetetrahydrofolate reductase	FY484_RS13340	CCI-CYTOSOL-GN
FY484_RS15400-MONOMER	hypothetical protein	FY484_RS15400	
FY484_RS07915-MONOMER	lipid A modification system glycine--lipid A transferase AlmG	FY484_RS07915	CCI-PM-BAC-NEG-GN
FY484_RS01860-MONOMER	GTPase HflX	FY484_RS01860	CCI-CYTOSOL-GN
FY484_RS02885-MONOMER	recombinase	FY484_RS02885	CCI-CYTOSOL-GN
FY484_RS17620-MONOMER	hypothetical protein	FY484_RS17620	
FY484_RS19590-MONOMER	NAD(+) kinase	FY484_RS19590	CCI-CYTOSOL-GN
FY484_RS11320-MONOMER	thiamine-phosphate kinase	FY484_RS11320	
FY484_RS03910-MONOMER	iron-sulfur cluster assembly protein IscA	FY484_RS03910	CCI-CYTOSOL-GN
FY484_RS13260-MONOMER	DUF805 domain-containing protein	FY484_RS13260	CCI-PM-BAC-NEG-GN
FY484_RS05890-MONOMER	3-phosphoserine/phosphohydroxythreonine transaminase	FY484_RS05890	CCI-CYTOSOL-GN
FY484_RS15300-MONOMER	DUF645 family protein	FY484_RS15300	
FY484_RS07835-MONOMER	6-phospho-beta-glucosidase	FY484_RS07835	CCI-CYTOSOL-GN
FY484_RS01740-MONOMER	uroporphyrinogen decarboxylase	FY484_RS01740	CCI-CYTOSOL-GN
FY484_RS17540-MONOMER	bifunctional nicotinamidase/pyrazinamidase	FY484_RS17540	
FY484_RS19485-MONOMER	DUF5363 family protein	FY484_RS19485	
FY484_RS11240-MONOMER	3-hydroxyacyl-ACP dehydratase FabZ	FY484_RS11240	CCI-CYTOSOL-GN
FY484_RS03825-MONOMER	copper homeostasis protein CutC	FY484_RS03825	CCI-CYTOSOL-GN
FY484_RS13175-MONOMER	serine O-acetyltransferase	FY484_RS13175	CCI-CYTOSOL-GN
FY484_RS05810-MONOMER	cold shock domain-containing protein CspD	FY484_RS05810	CCI-CYTOSOL-GN
FY484_RS15185-MONOMER	50S ribosomal protein L35	FY484_RS15185	CCI-RIBOSOME-GN
FY484_RS07755-MONOMER	DNA ligase	FY484_RS07755	
FY484_RS01640-MONOMER	CDP-diacylglycerol--serine O-phosphatidyltransferase	FY484_RS01640	CCI-CYTOSOL-GN
FY484_RS17460-MONOMER	Na<sup>+</sup>-independent protein translocation factor, SecD2 protein	FY484_RS17460	CCI-PM-BAC-NEG-GN
FY484_RS09715-MONOMER	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	FY484_RS09715	CCI-CYTOSOL-GN
FY484_RS19390-MONOMER	tetratricopeptide repeat protein	FY484_RS19390	
FY484_RS11160-MONOMER	TIGR03503 family protein	FY484_RS11160	CCO-MEMBRANE
FY484_RS03720-MONOMER	ATP-dependent chaperone	FY484_RS03720	CCI-CYTOSOL-GN
FY484_RS13095-MONOMER	putative type IVa pilus assembly protein PilP	FY484_RS13095	
FY484_RS05730-MONOMER	adenylosuccinate lyase	FY484_RS05730	CCI-CYTOSOL-GN
FY484_RS15095-MONOMER	helix-turn-helix transcriptional regulator	FY484_RS15095	
FY484_RS07670-MONOMER	energy-coupling factor ABC transporter ATP-binding protein	FY484_RS07670	CCI-PM-BAC-NEG-GN
FY484_RS01525-MONOMER	acetyl-CoA carboxylase biotin carboxylase subunit	FY484_RS01525	CCI-CYTOSOL-GN
FY484_RS17370-MONOMER	ferredoxin-type protein NapF	FY484_RS17370	CCI-CYTOSOL-GN
FY484_RS09615-MONOMER	trigger factor	FY484_RS09615	CCI-CYTOSOL-GN
FY484_RS19310-MONOMER	cluster III/F7 chemosensory system, methylesterase CheB3	FY484_RS19310	
FY484_RS11075-MONOMER	outer membrane porin A	FY484_RS11075	CCI-OUTER-MEM-GN
FY484_RS03640-MONOMER	two-component system response regulator	FY484_RS03640	CCI-CYTOSOL-GN
FY484_RS13015-MONOMER	DUF1338 domain-containing protein	FY484_RS13015	
FY484_RS05650-MONOMER	serine--tRNA ligase	FY484_RS05650	CCI-CYTOSOL-GN
FY484_RS15010-MONOMER	CatB-related O-acetyltransferase	FY484_RS15010	
FY484_RS07590-MONOMER	NAD-dependent protein deacylase	FY484_RS07590	CCI-CYTOSOL-GN
FY484_RS01435-MONOMER	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	FY484_RS01435	CCI-CYTOSOL-GN
FY484_RS17285-MONOMER	glycoside hydrolase family 32 protein	FY484_RS17285	CCI-CYTOSOL-GN
FY484_RS09535-MONOMER	methyltransferase	FY484_RS09535	CCI-CYTOSOL-GN
FY484_RS19230-MONOMER	L-proline/glycine betaine:Na<sup>+</sup> symporter	FY484_RS19230	CCI-PM-BAC-NEG-GN
FY484_RS10995-MONOMER	flagellar hook protein FlgE	FY484_RS10995	CCO-CELL-PROJECTION
FY484_RS03560-MONOMER	putative transporter, phosphate:Na<sup>+</sup> symporter family	FY484_RS03560	CCI-PM-BAC-NEG-GN
FY484_RS12930-MONOMER	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	FY484_RS12930	CCI-CYTOSOL-GN
FY484_RS05565-MONOMER	oligopeptide ABC transporter permease OppB	FY484_RS05565	CCI-PM-BAC-NEG-GN
FY484_RS14930-MONOMER	acetate kinase 2	FY484_RS14930	CCI-CYTOSOL-GN
FY484_RS07510-MONOMER	NAD-glutamate dehydrogenase	FY484_RS07510	
FY484_RS01350-MONOMER	IS3-like element ISVch4 family transposase	FY484_RS01350	
FY484_RS17205-MONOMER	tripartite efflux pump periplasmic adaptor protein	FY484_RS17205	CCO-MEMBRANE
FY484_RS09455-MONOMER	GNAT family N-acetyltransferase	FY484_RS09455	CCI-CYTOSOL-GN
FY484_RS19150-MONOMER	rhodanese-like domain-containing protein	FY484_RS19150	
FY484_RS10835-MONOMER	peptide chain release factor 1	FY484_RS10835	CCI-CYTOSOL-GN
FY484_RS03480-MONOMER	bifunctional diguanylate cyclase/phosphodiesterase CdgI	FY484_RS03480	
FY484_RS12850-MONOMER	30S ribosomal protein S8	FY484_RS12850	CCI-RIBOSOME-GN
FY484_RS05480-MONOMER	CPBP family intramembrane metalloprotease	FY484_RS05480	CCO-MEMBRANE
FY484_RS14845-MONOMER	hypothetical protein	FY484_RS14845	CCO-MEMBRANE
FY484_RS07425-MONOMER	hypothetical protein	FY484_RS07425	
FY484_RS01245-MONOMER	lipopolysaccharide heptosyltransferase II	FY484_RS01245	CCI-CYTOSOL-GN
FY484_RS17115-MONOMER	sugar-binding transcriptional regulator	FY484_RS17115	
FY484_RS09375-MONOMER	PrkA family serine protein kinase	FY484_RS09375	
FY484_RS19065-MONOMER	3-deoxy-7-phosphoheptulonate synthase AroG	FY484_RS19065	
FY484_RS10755-MONOMER	thioredoxin-dependent thiol peroxidase	FY484_RS10755	CCI-CYTOSOL-GN
FY484_RS03400-MONOMER	transcription termination factor NusA	FY484_RS03400	CCI-CYTOSOL-GN
FY484_RS12770-MONOMER	putative transporter, DMT family	FY484_RS12770	CCO-MEMBRANE
FY484_RS05395-MONOMER	YkgJ family cysteine cluster protein	FY484_RS05395	
FY484_RS14755-MONOMER	GMP reductase	FY484_RS14755	CCI-CYTOSOL-GN
FY484_RS07330-MONOMER	cholera enterotoxin catalytic subunit	FY484_RS07330	CCI-EXTRACELLULAR-GN // CCI-PERI-BAC-GN
FY484_RS01165-MONOMER	50S ribosomal protein L33	FY484_RS01165	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
FY484_RS17035-MONOMER	putative 2-aminoethylphosphonate ABC transporter substrate-binding protein	FY484_RS17035	
FY484_RS09290-MONOMER	putative transporter	FY484_RS09290	CCI-PM-BAC-NEG-GN
FY484_RS18985-MONOMER	DoxX family protein	FY484_RS18985	CCI-PM-BAC-NEG-GN
FY484_RS10675-MONOMER	flagellar filament capping protein FliD	FY484_RS10675	CCI-EXTRACELLULAR-GN // CCO-CELL-PROJECTION
FY484_RS03305-MONOMER	glutamate-1-semialdehyde 2,1-aminomutase	FY484_RS03305	CCI-CYTOSOL-GN
FY484_RS12690-MONOMER	peptide-methionine (S)-S-oxide reductase MsrA	FY484_RS12690	CCI-CYTOSOL-GN
FY484_RS05305-MONOMER	corrinoid adenosyltransferase	FY484_RS05305	CCI-CYTOSOL-GN
FY484_RS14670-MONOMER	nucleoside transporter	FY484_RS14670	CCI-PM-BAC-NEG-GN
FY484_RS07240-MONOMER	cytochrome <i>cbb<sub>3</sub></i> oxidase subunit IV	FY484_RS07240	CCO-MEMBRANE
FY484_RS01080-MONOMER	iron(III)-hydroxamate ABC transporter membrane protein	FY484_RS01080	CCI-PM-BAC-NEG-GN
FY484_RS16955-MONOMER	glutathione S-transferase	FY484_RS16955	CCI-CYTOSOL-GN
FY484_RS09210-MONOMER	tol-pal system-associated acyl-CoA thioesterase	FY484_RS09210	
FY484_RS18905-MONOMER	putative transporter	FY484_RS18905	CCI-PM-BAC-NEG-GN
FY484_RS10595-MONOMER	flagellar motor switch protein FliN	FY484_RS10595	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
FY484_RS03215-MONOMER	Fe<sup>3+</sup> ABC transporter substrate-binding protein	FY484_RS03215	
FY484_RS12605-MONOMER	nitrogen regulatory protein PtsN	FY484_RS12605	
FY484_RS05210-MONOMER	quorum-sensing response regulator	FY484_RS05210	
FY484_RS14590-MONOMER	tryptophanase	FY484_RS14590	
FY484_RS07160-MONOMER	spermidine/norspermidine ABC transporter substrate-binding protein	FY484_RS07160	CCI-PERI-BAC-GN
FY484_RS00995-MONOMER	VSP-I; site-specific integrase	FY484_RS00995	
FY484_RS16870-MONOMER	conjugal transfer protein TraF	FY484_RS16870	
FY484_RS09130-MONOMER	putative sugar-specific PTS enzyme IIACB	FY484_RS09130	CCI-PM-BAC-NEG-GN
FY484_RS18820-MONOMER	LysR family transcriptional regulator	FY484_RS18820	
FY484_RS10510-MONOMER	aspartate-semialdehyde dehydrogenase	FY484_RS10510	
FY484_RS03135-MONOMER	ABC transporter permease	FY484_RS03135	CCI-PM-BAC-NEG-GN
FY484_RS12520-MONOMER	1-acylglycerol-3-phosphate O-acyltransferase	FY484_RS12520	CCI-PM-BAC-NEG-GN
FY484_RS05120-MONOMER	SPOR domain-containing protein	FY484_RS05120	
FY484_RS14505-MONOMER	sigma-54 dependent transcriptional regulator	FY484_RS14505	
FY484_RS07075-MONOMER	DEAD/DEAH box helicase	FY484_RS07075	CCI-CYTOSOL-GN
FY484_RS00915-MONOMER	ABC transporter substrate-binding protein	FY484_RS00915	CCI-PERI-BAC-GN // CCI-PM-BAC-NEG-GN
FY484_RS16780-MONOMER	site-2 protease family protein	FY484_RS16780	CCO-MEMBRANE
FY484_RS09040-MONOMER	hypothetical protein	FY484_RS09040	
FY484_RS18735-MONOMER	putative transporter, DMT family	FY484_RS18735	CCO-MEMBRANE
FY484_RS10425-MONOMER	succinate dehydrogenase iron-sulfur subunit	FY484_RS10425	CCI-PM-BAC-NEG-GN
FY484_RS03045-MONOMER	50S ribosomal protein L13	FY484_RS03045	CCI-RIBOSOME-GN
FY484_RS12395-MONOMER	DUF547 domain-containing protein	FY484_RS12395	
FY484_RS05040-MONOMER	transmembrane regulator ToxR	FY484_RS05040	CCI-PM-BAC-NEG-GN
FY484_RS14425-MONOMER	DUF3012 domain-containing protein	FY484_RS14425	
FY484_RS06995-MONOMER	LysR family transcriptional regulator	FY484_RS06995	
FY484_RS00775-MONOMER	YijD family membrane protein	FY484_RS00775	CCO-MEMBRANE
FY484_RS16700-MONOMER	response regulator	FY484_RS16700	CCI-CYTOSOL-GN
FY484_RS08950-MONOMER	DNA repair protein RadC	FY484_RS08950	
FY484_RS18650-MONOMER	maltose/maltodextrin ABC transporter substrate-binding protein MalE	FY484_RS18650	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
FY484_RS10345-MONOMER	phosphohistidine phosphatase SixA	FY484_RS10345	CCI-CYTOSOL-GN
FY484_RS02965-MONOMER	NADP-dependent oxidoreductase	FY484_RS02965	
FY484_RS12310-MONOMER	YecA family protein	FY484_RS12310	
FY484_RS04945-MONOMER	HPr family phosphocarrier protein PtsH	FY484_RS04945	CCI-CYTOSOL-GN
FY484_RS14335-MONOMER	type VI secretion system contractile sheath small subunit	FY484_RS14335	
FY484_RS06905-MONOMER	ABC transporter substrate-binding protein	FY484_RS06905	
FY484_RS00685-MONOMER	alpha/beta fold hydrolase	FY484_RS00685	CCO-MEMBRANE
FY484_RS16615-MONOMER	ATP-dependent zinc protease	FY484_RS16615	
FY484_RS08865-MONOMER	type I restriction-modification system subunit M	FY484_RS08865	
FY484_RS18565-MONOMER	DUF805 domain-containing protein	FY484_RS18565	CCI-PM-BAC-NEG-GN
FY484_RS10265-MONOMER	cytochrome <i>c</i> maturation protein D	FY484_RS10265	CCI-PM-BAC-NEG-GN
FY484_RS02840-MONOMER	murein hydrolase activator NlpD	FY484_RS02840	CCI-OUTER-MEM-GN
FY484_RS12225-MONOMER	DNA repair protein	FY484_RS12225	CCI-BAC-NUCLEOID-GN
FY484_RS04865-MONOMER	peptidoglycan glycosyltransferase MrdB	FY484_RS04865	CCI-PM-BAC-NEG-GN
FY484_RS14250-MONOMER	putative transporter, DMT family	FY484_RS14250	CCO-MEMBRANE
FY484_RS06820-MONOMER	peroxiredoxin	FY484_RS06820	CCI-CYTOSOL-GN
FY484_RS00595-MONOMER	heme biosynthesis protein HemY	FY484_RS00595	CCI-PM-BAC-NEG-GN
FY484_RS16515-MONOMER	DUF3800 domain-containing protein	FY484_RS16515	
FY484_RS08780-MONOMER	putative mechanosensitive ion channel	FY484_RS08780	CCI-PM-BAC-NEG-GN
FY484_RS18485-MONOMER	reduced anaerobilin synthase	FY484_RS18485	CCI-CYTOSOL-GN
FY484_RS10175-MONOMER	putative phosphorelay protein	FY484_RS10175	
FY484_RS02755-MONOMER	RNA polymerase sigma factor RpoD	FY484_RS02755	CCI-CYTOSOL-GN
FY484_RS12145-MONOMER	putative transporter, inorganic phosphate transporter family	FY484_RS12145	CCI-PM-BAC-NEG-GN
FY484_RS04785-MONOMER	RbmD	FY484_RS04785	CCO-MEMBRANE
FY484_RS14155-MONOMER	phosphate ABC transporter membrane protein	FY484_RS14155	CCI-PM-BAC-NEG-GN
FY484_RS06740-MONOMER	tripartite tricarboxylate transporter substrate binding protein	FY484_RS06740	
FY484_RS00500-MONOMER	glycerol-3-phosphate 1-O-acyltransferase PlsB	FY484_RS00500	CCI-PM-BAC-NEG-GN
FY484_RS16415-MONOMER	type II toxin-antitoxin system, StbD-type antitoxin	FY484_RS16415	
FY484_RS08690-MONOMER	type I DNA topoisomerase	FY484_RS08690	
FY484_RS18405-MONOMER	cytochrome b562 family protein	FY484_RS18405	CCI-PERI-BAC-GN
FY484_RS10080-MONOMER	acyl carrier protein	FY484_RS10080	CCI-CYTOSOL-GN
FY484_RS02650-MONOMER	VSP-II; AlpA family transcriptional regulator	FY484_RS02650	
FY484_RS12065-MONOMER	type IV prepilin leader peptidase PilD	FY484_RS12065	CCI-PM-BAC-NEG-GN
FY484_RS04705-MONOMER	vibriobactin efflux pump RND permease	FY484_RS04705	CCI-PM-BAC-NEG-GN
FY484_RS14070-MONOMER	hypothetical protein	FY484_RS14070	
FY484_RS06655-MONOMER	putative cyclic nucleotide-binding histidine kinase	FY484_RS06655	
FY484_RS00410-MONOMER	universal stress protein UspA	FY484_RS00410	CCI-CYTOSOL-GN
FY484_RS16300-MONOMER	DUF3709 domain-containing protein	FY484_RS16300	
FY484_RS08605-MONOMER	putative transporter	FY484_RS08605	CCI-PM-BAC-NEG-GN
FY484_RS18310-MONOMER	DNA-binding transcriptional regulator DsdC	FY484_RS18310	
FY484_RS10000-MONOMER	hypothetical protein	FY484_RS10000	
FY484_RS02570-MONOMER	small-conductance mechanosensitive channel	FY484_RS02570	CCI-PM-BAC-NEG-GN
FY484_RS11970-MONOMER	penicillin-binding protein 3	FY484_RS11970	CCI-PM-BAC-NEG-GN
FY484_RS04605-MONOMER	DUF423 domain-containing protein	FY484_RS04605	CCI-PM-BAC-NEG-GN
FY484_RS13990-MONOMER	hypothetical protein	FY484_RS13990	
FY484_RS06570-MONOMER	6-carboxytetrahydropterin synthase QueD	FY484_RS06570	
FY484_RS00295-MONOMER	hypothetical protein	FY484_RS00295	
FY484_RS16180-MONOMER	GNAT family N-acetyltransferase	FY484_RS16180	
FY484_RS08520-MONOMER	putative formate channel	FY484_RS08520	CCI-PM-BAC-NEG-GN
FY484_RS18225-MONOMER	aldo/keto reductase family oxidoreductase	FY484_RS18225	CCI-CYTOSOL-GN
FY484_RS09910-MONOMER	Slp family lipoprotein	FY484_RS09910	CCI-OUTER-MEM-GN
FY484_RS02485-MONOMER	type IV pilus retraction ATPase PilU	FY484_RS02485	
FY484_RS11890-MONOMER	hypothetical protein	FY484_RS11890	
FY484_RS04520-MONOMER	type B 50S ribosomal protein L31	FY484_RS04520	CCI-RIBOSOME-GN
FY484_RS13895-MONOMER	glycogen/starch/alpha-glucan phosphorylase	FY484_RS13895	CCI-CYTOSOL-GN
FY484_RS06485-MONOMER	chitobiose-speific PTS enzyme IIB component	FY484_RS06485	
FY484_RS00215-MONOMER	TrkH family K<sup>+</sup> uptake protein	FY484_RS00215	CCI-PM-BAC-NEG-GN
FY484_RS16065-MONOMER	hypothetical protein	FY484_RS16065	
FY484_RS08430-MONOMER	phage shock protein PspA	FY484_RS08430	CCI-CYTOSOL-GN
FY484_RS18140-MONOMER	hemolysin family protein	FY484_RS18140	CCI-PM-BAC-NEG-GN
FY484_RS09830-MONOMER	putative transporter, benzoate:H<sup>+</sup> symporter family	FY484_RS09830	CCI-PM-BAC-NEG-GN
FY484_RS02360-MONOMER	lipopolysaccharide assembly protein LptD	FY484_RS02360	CCI-OUTER-MEM-GN
FY484_RS11805-MONOMER	glutamate synthase 1 small subunit	FY484_RS11805	CCI-CYTOSOL-GN
FY484_RS04435-MONOMER	putative minor pilin	FY484_RS04435	CCI-PILUS-GN // CCO-MEMBRANE
FY484_RS13805-MONOMER	ATP synthase F<sub>o</sub> complex subunit c	FY484_RS13805	CCI-PM-BAC-NEG-GN
FY484_RS06400-MONOMER	c-type cytochrome	FY484_RS06400	
FY484_RS00130-MONOMER	hypothetical protein	FY484_RS00130	CCO-MEMBRANE
FY484_RS15955-MONOMER	DUF645 family protein	FY484_RS15955	
FY484_RS08350-MONOMER	DUF1289 domain-containing protein	FY484_RS08350	
FY484_RS18055-MONOMER	chaperonin GroEL-2	FY484_RS18055	CCI-CYTOSOL-GN
FY484_RS02275-MONOMER	putative TAXI-TRAP type transporter substrate-binding protein	FY484_RS02275	
FY484_RS11725-MONOMER	hemerythrin domain-containing protein	FY484_RS11725	
FY484_RS04335-MONOMER	toxin-coregulated pilus pre-pilin peptidase	FY484_RS04335	CCI-PM-BAC-NEG-GN
FY484_RS13655-MONOMER	adenosine deaminase	FY484_RS13655	CCI-CYTOSOL-GN
FY484_RS06310-MONOMER	DUF2750 domain-containing protein	FY484_RS06310	
FY484_RS00035-MONOMER	50S ribosomal protein L34	FY484_RS00035	CCI-RIBOSOME-GN
FY484_RS15835-MONOMER	type II toxin-antitoxin system, ParD3 antitoxin	FY484_RS15835	
FY484_RS08265-MONOMER	methyl-accepting chemotaxis protein	FY484_RS08265	CCO-MEMBRANE
FY484_RS17965-MONOMER	CreA family protein	FY484_RS17965	CCI-CYTOSOL-GN
FY484_RS02195-MONOMER	mannose-sensitive hemagglutinin, MshP protein	FY484_RS02195	CCO-MEMBRANE
FY484_RS11645-MONOMER	AMP-binding protein	FY484_RS11645	
FY484_RS04255-MONOMER	hypothetical protein	FY484_RS04255	
FY484_RS06230-MONOMER	phosphoribosylglycinamide formyltransferase 2	FY484_RS06230	CCI-CYTOSOL-GN
FY484_RS13590-MONOMER	phosphoenolpyruvate carboxykinase (ATP)	FY484_RS13590	CCI-CYTOSOL-GN
FY484_RS15725-MONOMER	restriction endonuclease	FY484_RS15725	CCO-MEMBRANE
FY484_RS08180-MONOMER	Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	FY484_RS08180	CCI-PM-BAC-NEG-GN
FY484_RS17895-MONOMER	trans-2-enoyl-CoA reductase family protein	FY484_RS17895	
FY484_RS02115-MONOMER	single-stranded DNA-binding protein	FY484_RS02115	CCI-BAC-NUCLEOID-GN
FY484_RS11565-MONOMER	exodeoxyribonuclease V subunit beta	FY484_RS11565	CCI-CYTOSOL-GN
FY484_RS04155-MONOMER	triphosphoribosyl-dephospho-CoA synthase CitG	FY484_RS04155	
FY484_RS06120-MONOMER	DUF3187 family protein	FY484_RS06120	
FY484_RS13510-MONOMER	ADP compounds hydrolase NudE	FY484_RS13510	CCI-CYTOSOL-GN
FY484_RS15605-MONOMER	lipocalin family protein	FY484_RS15605	CCI-CYTOSOL-GN // CCI-OUTER-MEM-GN
FY484_RS08090-MONOMER	ABC transporter permease	FY484_RS08090	CCI-PM-BAC-NEG-GN
FY484_RS17790-MONOMER	ATPase RavA stimulator ViaA	FY484_RS17790	CCI-CYTOSOL-GN
FY484_RS01990-MONOMER	MBL fold metallo-hydrolase	FY484_RS01990	CCI-CYTOSOL-GN
FY484_RS11465-MONOMER	BolA/IbaG family iron-sulfur metabolism protein	FY484_RS11465	CCI-CYTOSOL-GN
FY484_RS04060-MONOMER	4'-phosphopantetheinyl transferase	FY484_RS04060	CCI-PM-BAC-NEG-GN
