Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
HP_RS02905-MONOMER	HP_RS02905	2-oxoglutarate-acceptor oxidoreductase subunit OorA	
HP_RS04950-MONOMER	HP_RS04950	IS200 insertion sequence from SARA17	
HP_RS06920-MONOMER	HP_RS06920	Putative metal-dependent hydrolase	
HP_RS00805-MONOMER	HP_RS00805	histidine kinase sensor protein ArsS	
HP_RS02825-MONOMER	HP_RS02825	Ribose-5-phosphate isomerase B	
HP_RS04840-MONOMER	HP_RS04840	hypothetical protein	
HP_RS06835-MONOMER	HP_RS06835	Hypothetical protein HP1384	
HP_RS00725-MONOMER	HP_RS00725	cytochrome c oxidase, cbb3-type, diheme subunit	CCI-PM-BAC-NEG-GN
HP_RS02745-MONOMER	HP_RS02745	Acetyl-CoA carboxylase carboxyltransferase subunit alpha	CCI-CYTOSOL-GN
HP_RS00315-MONOMER	HP_RS00315	Hypothetical protein HP0062	
HP_RS04755-MONOMER	HP_RS04755	Glycyl-tRNA synthetase subunit beta	CCI-CYTOSOL-GN
HP_RS06750-MONOMER	HP_RS06750	Type IIS restriction-modification system R protein R.HpyAII	
HP_RS00640-MONOMER	HP_RS00640	outer membrane protein HorB	
HP_RS02655-MONOMER	HP_RS02655	CagI protein	
HP_RS00235-MONOMER	HP_RS00235	GDP-L-fucose synthase monomer	
HP_RS04665-MONOMER	HP_RS04665	Hypothetical protein HP0953	
HP_RS06655-MONOMER	HP_RS06655	1-acyl-sn-glycerol-3-phosphate acyltransferase	CCI-PM-BAC-NEG-GN
HP_RS00560-MONOMER	HP_RS00560	Heat shock protein GrpE	CCI-CYTOSOL-GN
HP_RS02575-MONOMER	HP_RS02575	Cag T4SS protein Cag&gamma;	
HP_RS00150-MONOMER	HP_RS00150	isocitrate dehydrogenase	
HP_RS04555-MONOMER	HP_RS04555	N-acetyltransferase 8-like protein	
HP_RS06575-MONOMER	HP_RS06575	Chaperone protein DnaJ	CCI-CYTOSOL-GN
HP_RS00470-MONOMER	HP_RS00470	type IIP restriction-modification system, M protein M.HpyAIII	
HP_RS02485-MONOMER	HP_RS02485	inactive Type IIP restriction-modification system M protein M.HpyAXII	
HP_RS00065-MONOMER	HP_RS00065	chaperonin GroL monomer	CCI-CYTOSOL-GN
HP_RS04465-MONOMER	HP_RS04465	Outer membrane protein HofG	
HP_RS06495-MONOMER	HP_RS06495	50S ribosomal protein L2	CCI-RIBOSOME-GN
HP_RS00385-MONOMER	HP_RS00385	Phosphoglucosamine mutase	CCI-CYTOSOL-GN
HP_RS02405-MONOMER	HP_RS02405	outer membrane protein HofC	
HP_RS04360-MONOMER	HP_RS04360	addiction module toxin protein HP0894 (RNAse)	
HP_RS04345-MONOMER	HP_RS04345	Acyl coenzyme A thioesterase VdlD	CCI-CYTOSOL-GN
HP_RS06400-MONOMER	HP_RS06400	50S ribosomal protein L36	CCI-RIBOSOME-GN
HP_RS02300-MONOMER	HP_RS02300	Hypothetical protein HP0465	
HP_RS04245-MONOMER	HP_RS04245	flagellar hook protein FlgE1	CCO-CELL-PROJECTION
HP_RS06320-MONOMER	HP_RS06320	Anthranilate synthase component II	
HP_RS02210-MONOMER	HP_RS02210	Putative ATPase HP0447	
HP_RS04180-MONOMER	HP_RS04180	sedoheptulose 7-phosphate isomerase monomer	CCI-CYTOSOL-GN
HP_RS06240-MONOMER	HP_RS06240	ferredoxin-menaquinone dehydrogenase subunit F	
HP_RS02095-MONOMER	HP_RS02095	Hypothetical protein HP0423	
HP_RS04095-MONOMER	HP_RS04095	outer membrane protein P1	CCI-OUTER-MEM-GN
HP_RS06155-MONOMER	HP_RS06155	Ribonuclease R	CCI-CYTOSOL-GN
HP_RS01990-MONOMER	HP_RS01990	HIT family protein	CCI-CYTOSOL-GN
HP_RS04005-MONOMER	HP_RS04005	Excinuclease ABC subunit C UvrC	CCI-CYTOSOL-GN
HP_RS06075-MONOMER	HP_RS06075	DNA polymerase III subunit delta' HolB	
HP_RS01910-MONOMER	HP_RS01910	tRNA (cmo5U34)-methyltransferase	
HP_RS03920-MONOMER	HP_RS03920	Lipooligosaccharide 5G8 epitope biosynthesis-associated protein Lex2B	
HP_RS05975-MONOMER	HP_RS05975	Serine O-acetyltransferase CysE	CCI-CYTOSOL-GN
MONOMER2DNV-15	G2DNV-14		
HP_RS01830-MONOMER	HP_RS01830	Deoxycytidine triphosphate deaminase	
HP_RS03840-MONOMER	HP_RS03840	Outer membrane protein HofF	
HP_RS05865-MONOMER	HP_RS05865	Aldo/keto reductase	CCI-CYTOSOL-GN
HP_RS07830-MONOMER	HP_RS07830	Pyridoxine 5'-phosphate synthase	CCI-CYTOSOL-GN
HP_RS01730-MONOMER	HP_RS01730	flagellar ATPase regulator FliH	CCI-CYTOSOL-GN
HP_RS03750-MONOMER	HP_RS03750	flagellar export protein FlhB	CCI-PM-BAC-NEG-GN
HP_RS05775-MONOMER	HP_RS05775	putative transporter, nucleobase:cation symporter-2 family	CCI-PM-BAC-NEG-GN
HP_RS07750-MONOMER	HP_RS07750	Hypothetical protein HP1566	CCO-MEMBRANE
HP_RS01640-MONOMER	HP_RS01640	cell division topological specificity factor MinE	
HP_RS03665-MONOMER	HP_RS03665	Flagellar protein FlaG	
HP_RS05695-MONOMER	HP_RS05695	Cell filamentation protein	
HP_RS07670-MONOMER	HP_RS07670	Sec translocon accessory subunit YajC	CCI-PM-BAC-NEG-GN
HP_RS01555-MONOMER	HP_RS01555	Hypothetical protein HP0316	
HP_RS03580-MONOMER	HP_RS03580	Putative aminotransferase SerC	
HP_RS05600-MONOMER	HP_RS05600	Biotin--protein ligase BirA	CCI-CYTOSOL-GN
HP_RS07590-MONOMER	HP_RS07590	IS605 transposase TnpA	
HP_RS01475-MONOMER	HP_RS01475	peptide ABC transporter, membrane protein DppB	CCI-PM-BAC-NEG-GN
HP_RS03490-MONOMER	HP_RS03490	tRNA threonylcarbamoyl adenosine modification protein	CCI-CYTOSOL-GN
HP_RS05515-MONOMER	HP_RS05515	Hypothetical protein HP1122a	
HP_RS07500-MONOMER	HP_RS07500	Hypothetical protein HP1516	CCO-MEMBRANE
HP_RS01395-MONOMER	HP_RS01395	3-dehydroquinate synthase AroB	CCI-CYTOSOL-GN
HP_RS03405-MONOMER	HP_RS03405	N-methylhydantoinase	CCI-CYTOSOL-GN
HP_RS05435-MONOMER	HP_RS05435	outer membrane protein HorH	
HP_RS07415-MONOMER	HP_RS07415	Peptidyl-tRNA hydrolase	CCI-CYTOSOL-GN
HP_RS01315-MONOMER	HP_RS01315	aminodeoxyfutalosine deaminase monomer	
HP_RS03315-MONOMER	HP_RS03315	Integrase/recombinase XerC	CCI-CYTOSOL-GN
HP_RS05355-MONOMER	HP_RS05355	PDDEXK_1 domain-containing protein	
HP_RS07335-MONOMER	HP_RS07335	Putative nitrilase/cyanide hydratase	
HP_RS01220-MONOMER	HP_RS01220	Hypothetical membrane protein HP0248	CCO-MEMBRANE
HP_RS03225-MONOMER	HP_RS03225	Menaquinone biosynthesis protein, SCO4494 family	
HP_RS05275-MONOMER	HP_RS05275	putative Cu<sup>2+</sup>-binding protein CopP	
HP_RS07255-MONOMER	HP_RS07255	ABC transporter ATP-binding protein	
HP_RS01140-MONOMER	HP_RS01140	Motility protein HP0232	CCI-PM-BAC-NEG-GN
HP_RS03145-MONOMER	HP_RS03145	outer membrane protein HopH	
HP_RS05190-MONOMER	HP_RS05190	Hypothetical protein HP1056	
HP_RS07175-MONOMER	HP_RS07175	Putative membrane protein insertion efficiency factor	CCI-PM-BAC-NEG-GN
HP_RS01050-MONOMER	HP_RS01050	putative transporter, divalent anion:Na<sup>+</sup> symporter family	CCO-MEMBRANE
HP_RS03060-MONOMER	HP_RS03060	Recombination and DNA strand exchange inhibitor protein MutS	
HP_RS05110-MONOMER	HP_RS05110	30S ribosomal protein S15	CCI-RIBOSOME-GN
HP_RS07085-MONOMER	HP_RS07085	cytoplasmic Ni<sup>2+</sup>-binding protein Hpn2	
HP_RS00955-MONOMER	HP_RS00955	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	
HP_RS02975-MONOMER	HP_RS02975	Hypothetical protein HP0603	
HP_RS05030-MONOMER	HP_RS05030	Co-chaperone-curved DNA binding protein A	CCI-CYTOSOL-GN
HP_RS07000-MONOMER	HP_RS07000	tRNA delta(2)-isopentenylpyrophosphate transferase	
HP_RS00870-MONOMER	HP_RS00870	pseudoaminic acid synthase	
HP_RS02890-MONOMER	HP_RS02890	Hypothetical protein HP0586	CCO-MEMBRANE
HP_RS04920-MONOMER	HP_RS04920	Hypothetical protein HP1002	
HP_RS06905-MONOMER	HP_RS06905	Alanine dehydrogenase	
HP_RS00790-MONOMER	HP_RS00790	Helicobacter cysteine-rich protein E HcpD	CCI-EXTRACELLULAR-GN
HP_RS02810-MONOMER	HP_RS02810	DedA family protein	CCI-PM-BAC-NEG-GN
HP_RS04825-MONOMER	HP_RS04825	hypothetical protein	
HP_RS06820-MONOMER	HP_RS06820	Nonspecific tight adherence fibril (pilus) secretion septum	CCO-MEMBRANE
HP_RS00710-MONOMER	HP_RS00710	cbb3-type cytochrome c oxidase heme b and copper-binding subunit	CCI-PM-BAC-NEG-GN
HP_RS02730-MONOMER	HP_RS02730	Sialidase A	CCO-MEMBRANE
HP_RS00300-MONOMER	HP_RS00300	Hypothetical protein HP0059	
HP_RS04740-MONOMER	HP_RS04740	Ni<sup>2+</sup>/Zn<sup>2+</sup>/Cd<sup>2+</sup> efflux pump, RND permease	CCI-PM-BAC-NEG-GN
HP_RS06735-MONOMER	HP_RS06735	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	
HP_RS00625-MONOMER	HP_RS00625	Translation initiation factor IF-3	CCI-CYTOSOL-GN
HP_RS02640-MONOMER	HP_RS02640	Cag T4SS protein CagM	
HP_RS00220-MONOMER	HP_RS00220	DNA type IV secretion system protein ComB10	CCO-MEMBRANE
HP_RS04650-MONOMER	HP_RS04650	Acetyl-CoA carboxylase subunit beta	CCI-CYTOSOL-GN
HP_RS06640-MONOMER	HP_RS06640	Phosphoglycerate kinase	CCI-CYTOSOL-GN
HP_RS00540-MONOMER	HP_RS00540	cystathionine gamma-lyase	CCI-CYTOSOL-GN
HP_RS02560-MONOMER	HP_RS02560	Beta-lactamase	
HP_RS00135-MONOMER	HP_RS00135	lacdiNAc-binding adhesin LabA	
HP_RS04535-MONOMER	HP_RS04535	Stationary phase survival protein SurE	CCI-CYTOSOL-GN
HP_RS06560-MONOMER	HP_RS06560	copper efflux pump RND permease	CCI-PM-BAC-NEG-GN
HP_RS00450-MONOMER	HP_RS00450	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	CCI-CYTOSOL-GN
HP_RS02470-MONOMER	HP_RS02470	phospholipase A	CCI-OUTER-MEM-GN
HP_RS00025-MONOMER	HP_RS00025	Orotidine 5'-phosphate decarboxylase PyrF	CCI-CYTOSOL-GN
HP_RS04450-MONOMER	HP_RS04450	Rep helicase, single-stranded DNA-dependent ATPase	CCI-CYTOSOL-GN
HP_RS06480-MONOMER	HP_RS06480	30S ribosomal protein S3	CCI-RIBOSOME-GN
HP_RS00365-MONOMER	HP_RS00365	urease subunit beta UreB	CCI-CYTOSOL-GN
HP_RS02385-MONOMER	HP_RS02385	inactive Type IIP restriction-modification system R protein	
HP_RS04330-MONOMER	HP_RS04330	Ni<sup>2+</sup> ABC transporter, ATP-binding protein	CCI-PM-BAC-NEG-GN
HP_RS06385-MONOMER	HP_RS06385	30S ribosomal protein S4	CCI-RIBOSOME-GN
HP_RS02285-MONOMER	HP_RS02285	Type I restriction enzyme S protein HdsS	
HP_RS04230-MONOMER	HP_RS04230	Lipid-A-disaccharide synthase	
HP_RS06305-MONOMER	HP_RS06305	Tryptophan synthase subunit beta TrpB	CCI-CYTOSOL-GN
HP_RS02190-MONOMER	HP_RS02190	ICEHptfs4 protein C19.2	CCO-MEMBRANE
HP_RS04165-MONOMER	HP_RS04165	Guanosine 5'-monophosphate oxidoreductase GuaC	
HP_RS06225-MONOMER	HP_RS06225	ferredoxin-menaquinone dehydrogenase subunit C	
HP_RS02080-MONOMER	HP_RS02080	4HBT domain-containing protein	
HP_RS04070-MONOMER	HP_RS04070	GTP-binding protein EngA	
HP_RS06140-MONOMER	HP_RS06140	single-stranded DNA-binding protein monomer	CCI-BAC-NUCLEOID-GN
HP_RS01975-MONOMER	HP_RS01975	3-phosphoshikimate 1-carboxyvinyltransferase	CCI-CYTOSOL-GN
HP_RS03990-MONOMER	HP_RS03990	putative osmoprotective ABC transporter, ATP-binding protein	
HP_RS06060-MONOMER	HP_RS06060	RNA diphosphohydrolase	CCI-CYTOSOL-GN
HP_RS01895-MONOMER	HP_RS01895	Hypothetical protein HP0385	
HP_RS03905-MONOMER	HP_RS03905	GTP cyclohydrolase II	CCI-CYTOSOL-GN
HP_RS05955-MONOMER	HP_RS05955	O-antigen flippase	CCO-MEMBRANE
HP_RS07955-MONOMER	HP_RS07955	Hypothetical protein HP1070	
HP_RS01810-MONOMER	HP_RS01810	inactive Type IIP restriction-modification system R protein	
HP_RS03815-MONOMER	HP_RS03815	Hypothetical protein HP0783	
HP_RS05850-MONOMER	HP_RS05850	Histidyl-tRNA synthetase	CCI-CYTOSOL-GN
HP_RS07815-MONOMER	HP_RS07815	Hypothetical protein HP1579	
HP_RS01715-MONOMER	HP_RS01715	Hypothetical protein HP0350	CCO-MEMBRANE
HP_RS03735-MONOMER	HP_RS03735	Hypothetical protein HP0766	
HP_RS05760-MONOMER	HP_RS05760	ABC transporter, periplasmic L-glutamine-binding protein	
HP_RS07735-MONOMER	HP_RS07735	AhpC monomer	CCI-CYTOSOL-GN
HP_RS01620-MONOMER	HP_RS01620	NH(3)-dependent NAD(+) synthetase NadE	CCI-CYTOSOL-GN
HP_RS03650-MONOMER	HP_RS03650	cell division protein FtsE	CCI-PM-BAC-NEG-GN
HP_RS05680-MONOMER	HP_RS05680	outer membrane protein HopI	
HP_RS07655-MONOMER	HP_RS07655	putative membrane protein	CCO-MEMBRANE
HP_RS01540-MONOMER	HP_RS01540	ATP-binding protein	CCI-CYTOSOL-GN
HP_RS03560-MONOMER	HP_RS03560	LeoA protein	
HP_RS05585-MONOMER	HP_RS05585	F0F1 ATP synthase subunit B', AtpX	CCO-MEMBRANE
HP_RS07575-MONOMER	HP_RS07575	Glucosamine--fructose-6-phosphate aminotransferase GlmS	CCI-CYTOSOL-GN
HP_RS01460-MONOMER	HP_RS01460	50S ribosomal protein L21	CCI-RIBOSOME-GN
HP_RS03470-MONOMER	HP_RS03470	Competence protein ComGF	
HP_RS05500-MONOMER	HP_RS05500	Hypothetical protein HP1120	
HP_RS07485-MONOMER	HP_RS07485	TonB-dependent nickel transporter FrpB4	CCI-OUTER-MEM-GN
HP_RS01380-MONOMER	HP_RS01380	Lipid A biosynthesis lauroyl acyltransferase	CCI-PM-BAC-NEG-GN
HP_RS03390-MONOMER	HP_RS03390	putative transporter, short chain fatty acid uptake family	CCI-PM-BAC-NEG-GN
HP_RS05420-MONOMER	HP_RS05420	cinnamyl-alcohol dehydrogenase	
HP_RS07400-MONOMER	HP_RS07400	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase	CCI-CYTOSOL-GN
HP_RS01300-MONOMER	HP_RS01300	ATP-dependent Clp protease, ATP-binding subunit ClpB	CCI-CYTOSOL-GN
HP_RS03295-MONOMER	HP_RS03295	Predicted coding region HP0670	
HP_RS05340-MONOMER	HP_RS05340	hemolysin	
HP_RS07320-MONOMER	HP_RS07320	DNA helicase II UvrD	CCI-CYTOSOL-GN
HP_RS01205-MONOMER	HP_RS01205	flagellar rod assembly protein/muramidase FlgJ	
HP_RS03210-MONOMER	HP_RS03210	&alpha;(1,3)-fucosyltransferase FutB	CCI-CYTOSOL-GN // CCO-MEMBRANE
HP_RS05260-MONOMER	HP_RS05260	cell division protein FtsH	CCI-PM-BAC-NEG-GN
HP_RS07240-MONOMER	HP_RS07240	secreted protein involved in flagellar motility	
HP_RS01115-MONOMER	HP_RS01115	putative transporter, sulfate permease family	CCO-MEMBRANE
HP_RS03125-MONOMER	HP_RS03125	[NiFe]-hydrogenase maturation endopeptidase HydD	
HP_RS05175-MONOMER	HP_RS05175	septum formation inhibitor MinC	
HP_RS07160-MONOMER	HP_RS07160	ExbD family protein	CCI-PM-BAC-NEG-GN
HP_RS01035-MONOMER	HP_RS01035	Helicobacter cysteine-rich protein E HcpA	CCI-EXTRACELLULAR-GN
HP_RS03045-MONOMER	HP_RS03045	glycosyltransferase family 25 protein	
HP_RS05095-MONOMER	HP_RS05095	aminopeptidase	CCI-CYTOSOL-GN
HP_RS07070-MONOMER	HP_RS07070	Polysialic acid capsule expression protein	
HP_RS00940-MONOMER	HP_RS00940	fumarate reductase cytochrome b-556 subunit FrdC	CCI-PM-BAC-NEG-GN
HP_RS02960-MONOMER	HP_RS02960	ABC family efflux transporter, ATP-binding/membrane protein	CCO-MEMBRANE
HP_RS05015-MONOMER	HP_RS05015	redox switch response regulator HP1021	CCI-CYTOSOL-GN
HP_RS06985-MONOMER	HP_RS06985	Hypothetical protein HP1412	
HP_RS00855-MONOMER	HP_RS00855	Putative peptidyl-prolyl cis-trans isomerase PpiC	
HP_RS02875-MONOMER	HP_RS02875	flagellar motor switch protein FliN	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
HP_RS04900-MONOMER	HP_RS04900	Putative transposase TnpA	
HP_RS06885-MONOMER	HP_RS06885	DNA repair protein RecN	
HP_RS00775-MONOMER	HP_RS00775	shikimate kinase	CCI-CYTOSOL-GN
HP_RS02795-MONOMER	HP_RS02795	SPASM domain-containing protein	
HP_RS04805-MONOMER	HP_RS04805	Hypothetical protein HP0982	CCO-MEMBRANE
HP_RS06805-MONOMER	HP_RS06805	putative outer membrane protein assembly factor BamD	CCI-OUTER-MEM-GN
HP_RS00690-MONOMER	HP_RS00690	lactate transporter LctP1	CCI-PM-BAC-NEG-GN
HP_RS02715-MONOMER	HP_RS02715	50S ribosomal protein L31	CCI-RIBOSOME-GN
HP_RS00285-MONOMER	HP_RS00285	Delta-1-pyrroline-5-carboxylate dehydrogenase PutA	CCI-PM-BAC-NEG-GN
HP_RS04715-MONOMER	HP_RS04715	Putative ATPase	
HP_RS06720-MONOMER	HP_RS06720	1,4-dihydroxy-6-naphthoate prenyltransferase MqnP	CCI-PM-BAC-NEG-GN
HP_RS00610-MONOMER	HP_RS00610	DUF874 family protein HP0120	
HP_RS02625-MONOMER	HP_RS02625	CagS protein	
HP_RS00200-MONOMER	HP_RS00200	ComB6 protein	CCO-MEMBRANE
HP_RS04635-MONOMER	HP_RS04635	Hypothetical protein HP0947	
HP_RS06625-MONOMER	HP_RS06625	outer membrane protein HopN	
HP_RS00525-MONOMER	HP_RS00525	methyl-accepting chemotaxis protein TlpB	CCI-PM-BAC-NEG-GN
HP_RS02545-MONOMER	HP_RS02545	ATP-dependent protease ATP-binding subunit HslU	CCI-CYTOSOL-GN
HP_RS00120-MONOMER	HP_RS00120	Carboxynorspermidine decarboxylase	CCI-CYTOSOL-GN
HP_RS04520-MONOMER	HP_RS04520	Heat shock protein HtpX	CCI-PM-BAC-NEG-GN
HP_RS06545-MONOMER	HP_RS06545	copper resistance determinant CrdA	
HP_RS00435-MONOMER	HP_RS00435	malate:quinone oxidoreductase	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
HP_RS02455-MONOMER	HP_RS02455	thioesterase YbgC monomer	
HP_RS00010-MONOMER	HP_RS00010	6,7-dimethyl-8-ribityllumazine synthase	CCI-CYTOSOL-GN
HP_RS04435-MONOMER	HP_RS04435	flagellar hook protein FlgE2	CCO-CELL-PROJECTION
HP_RS06465-MONOMER	HP_RS06465	30S ribosomal protein S17	CCI-RIBOSOME-GN
HP_RS00350-MONOMER	HP_RS00350	urease accessory protein UreF	CCI-CYTOSOL-GN
HP_RS02365-MONOMER	HP_RS02365	Type IIP restriction-modification system M protein M.HpyAVII	
HP_RS02350-MONOMER	HP_RS02350	molybdate ABC transporter, ATP-binding protein	
HP_RS04315-MONOMER	HP_RS04315	lipid II flippase MurJ	CCI-PM-BAC-NEG-GN
HP_RS06370-MONOMER	HP_RS06370	Thiamine pyrophosphokinase	
HP_RS02270-MONOMER	HP_RS02270	hypothetical protein	
HP_RS06290-MONOMER	HP_RS06290	Phosphomannomutase	
HP_RS02175-MONOMER	HP_RS02175	ICEHptfs4 protein C16.2	
HP_RS04150-MONOMER	HP_RS04150	undecaprenyl-diphosphate phosphatase	CCO-MEMBRANE
HP_RS06205-MONOMER	HP_RS06205	Hypothetical protein HP1258	CCO-MEMBRANE
HP_RS02065-MONOMER	HP_RS02065	Methionyl-tRNA synthetase	CCI-CYTOSOL-GN
HP_RS04055-MONOMER	HP_RS04055	Dephospho-CoA kinase CoaE	CCI-CYTOSOL-GN
HP_RS06125-MONOMER	HP_RS06125	Hypothetical protein HP1242	
HP_RS01960-MONOMER	HP_RS01960	Hypothetical protein HP0398	
HP_RS03975-MONOMER	HP_RS03975	flagellar motor protein MotB	CCI-PM-BAC-NEG-GN
HP_RS06040-MONOMER	HP_RS06040	Uroporphyrinogen-III synthase HemD	
HP_RS01880-MONOMER	HP_RS01880	Putative zinc-metallo protease	CCO-MEMBRANE
HP_RS03890-MONOMER	HP_RS03890	Molybdopterin adenylyltransferase	
HP_RS05915-MONOMER	HP_RS05915	Sec translocon subunit SecE	
HP_RS07905-MONOMER	HP_RS07905	hypothetical protein	
HP_RS01790-MONOMER	HP_RS01790	Ribonucleotide-diphosphate reductase subunit beta	
HP_RS03800-MONOMER	HP_RS03800	Hypothetical protein HP0780	
HP_RS05830-MONOMER	HP_RS05830	&alpha;-carbonic anhydrase	
HP_RS07800-MONOMER	HP_RS07800	ABC transporter, ATP-binding subunit	CCI-PM-BAC-NEG-GN
HP_RS01700-MONOMER	HP_RS01700	Pseudouridine synthase	
HP_RS03720-MONOMER	HP_RS03720	signal recognition particle receptor	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
HP_RS05745-MONOMER	HP_RS05745	ABC transporter, membrane protein	CCI-PM-BAC-NEG-GN
HP_RS07720-MONOMER	HP_RS07720	peptidoglycan glycosyltransferase FtsW	CCI-PM-BAC-NEG-GN
HP_RS01605-MONOMER	HP_RS01605		
HP_RS03635-MONOMER	HP_RS03635	Pseudouridine synthase	
HP_RS05665-MONOMER	HP_RS05665	Valyl-tRNA synthetase	CCI-CYTOSOL-GN
HP_RS07640-MONOMER	HP_RS07640	folylpolyglutamate synthase FolC	CCI-CYTOSOL-GN
HP_RS01525-MONOMER	HP_RS01525	Putative N-carbamoyl-D-amino acid amidohydrolase	
HP_RS03545-MONOMER	HP_RS03545	tRNA(Ile)-lysidine synthase	CCI-CYTOSOL-GN
HP_RS05570-MONOMER	HP_RS05570	F0F1 ATP synthase subunit alpha, AtpA	CCI-PM-BAC-NEG-GN
HP_RS07560-MONOMER	HP_RS07560	chromosomal replication initiator protein DnaA	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
HP_RS01445-MONOMER	HP_RS01445	Para-aminobenzoate synthetase PabB	CCI-CYTOSOL-GN
HP_RS03455-MONOMER	HP_RS03455	Hypothetical protein HP0708	CCO-MEMBRANE
HP_RS05485-MONOMER	HP_RS05485	Helicobacter cysteine-rich protein E HcpG	
HP_RS07470-MONOMER	HP_RS07470	acyl phosphate:glycerol-3-phosphate acyltransferase	CCI-PM-BAC-NEG-GN
HP_RS01365-MONOMER	HP_RS01365	Ferredoxin	CCI-CYTOSOL-GN
HP_RS03375-MONOMER	HP_RS03375	acetyl-CoA acetyltransferase	
HP_RS05405-MONOMER	HP_RS05405	glucose-6-phosphate 1-dehydrogenase	CCI-CYTOSOL-GN
HP_RS07385-MONOMER	HP_RS07385	putative transporter, inorganic phosphate transporter (PiT) family	CCI-PM-BAC-NEG-GN
HP_RS01280-MONOMER	HP_RS01280	Type IIP restriction-modification system M protein M.HpyAX	CCI-CYTOSOL-GN
HP_RS03275-MONOMER	HP_RS03275	UPF0763 protein HP0664	
HP_RS05325-MONOMER	HP_RS05325	Outer membrane protein HofB	
HP_RS07305-MONOMER	HP_RS07305	Phosphopantetheine adenylyltransferase	CCI-CYTOSOL-GN
HP_RS01190-MONOMER	HP_RS01190	Hypothetical protein HP0242	
HP_RS03195-MONOMER	HP_RS03195	UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	CCI-CYTOSOL-GN
HP_RS05245-MONOMER	HP_RS05245	Outer membrane protein HorD	
HP_RS07225-MONOMER	HP_RS07225	Pseudouridine synthase RluB	
HP_RS01100-MONOMER	HP_RS01100	Bifunctional methionine sulfoxide reductase A/B MrsA	CCI-CYTOSOL-GN
HP_RS03110-MONOMER	HP_RS03110	Quinone-reactive Ni/Fe hydrogenase HydA	CCO-MEMBRANE
HP_RS05160-MONOMER	HP_RS05160	Homoserine kinase ThrB	CCI-CYTOSOL-GN
HP_RS07145-MONOMER	HP_RS07145	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	
HP_RS01015-MONOMER	HP_RS01015	ATP-binding protein Mpr	
HP_RS03030-MONOMER	HP_RS03030	chemotaxis protein CheV2	
HP_RS05080-MONOMER	HP_RS05080	ATP-binding protein	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
HP_RS07050-MONOMER	HP_RS07050	Hypothetical protein HP1424	
HP_RS00925-MONOMER	HP_RS00925	Phospholipase D-family protein	CCI-PM-BAC-NEG-GN
HP_RS02945-MONOMER	HP_RS02945	penicillin-binding protein 1	CCO-MEMBRANE
HP_RS04995-MONOMER	HP_RS04995	Phosphatidylglycerophosphate synthase PgsA	CCO-MEMBRANE
HP_RS06970-MONOMER	HP_RS06970	Hypothetical protein HP1409	
HP_RS00840-MONOMER	HP_RS00840	Molybdopterin biosynthesis protein MoeA	CCI-CYTOSOL-GN
HP_RS02860-MONOMER	HP_RS02860	Dihydroorotase PyrC	
HP_RS04885-MONOMER	HP_RS04885	ICEHptfs3 protein C1	
HP_RS06870-MONOMER	HP_RS06870	Hypothetical protein HP1390	
HP_RS00760-MONOMER	HP_RS00760	enolase	CCI-CYTOSOL-GN // CCI-EXTRACELLULAR-GN
HP_RS02780-MONOMER	HP_RS02780	Inner membrane protein YkgB	CCI-PM-BAC-NEG-GN
HP_RS04790-MONOMER	HP_RS04790	Cell division protein FtsZ	CCI-CYTOSOL-GN
HP_RS06790-MONOMER	HP_RS06790	UDP-N-acetylglucosamine acyltransferase LpxA	CCI-CYTOSOL-GN
HP_RS00675-MONOMER	HP_RS00675	putative NAD-dependent lactate dehydrogenase subunit HP0137	
HP_RS02690-MONOMER	HP_RS02690	Cag pathogenicity island protein	
HP_RS00270-MONOMER	HP_RS00270	Type IIS restriction-modification system R protein R.HpyAV	
HP_RS04700-MONOMER	HP_RS04700	Glycyl-tRNA synthetase subunit alpha GlyQ	CCI-CYTOSOL-GN
HP_RS06705-MONOMER	HP_RS06705	Phosphatidylserine decarboxylase	CCI-PM-BAC-NEG-GN
HP_RS00595-MONOMER	HP_RS00595	Radical SAM domain-containing protein	
HP_RS02610-MONOMER	HP_RS02610	CagV protein	CCO-MEMBRANE
HP_RS00185-MONOMER	HP_RS00185	Aspartate alpha-decarboxylase	CCI-CYTOSOL-GN
HP_RS04600-MONOMER	HP_RS04600	RutC family protein HP0944	CCI-CYTOSOL-GN
HP_RS06610-MONOMER	HP_RS06610	energy-transducing Ton complex subunit ExbB	CCI-PM-BAC-NEG-GN
HP_RS00510-MONOMER	HP_RS00510	epoxyqueuosine reductase	
HP_RS02525-MONOMER	HP_RS02525	Glutamine synthetase GlnA	CCI-CYTOSOL-GN // CCO-MEMBRANE
