Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
STM1771-MONOMER,sodium-potassium/proton antiporter,STM1771,CCI-PM-BAC-NEG-GN
STM3032-MONOMER,IS200 family transposase,STM3032,
STM0356-MONOMER,MFS transporter,STM0356,CCI-PM-BAC-NEG-GN
STM2650-MONOMER,DTW domain-containing protein,STM2650,
STM2148-MONOMER,heavy metal resistance protein,STM2148,
STM0744-MONOMER,tol-pal system-associated acyl-CoA thioesterase,STM0744,
STM2905-MONOMER,GNAT family N-acetyltransferase,STM2905,
STM3414-MONOMER,50S ribosomal protein L17,STM3414,CCI-RIBOSOME-GN
STM2525-MONOMER,bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase,STM2525,CCI-CYTOSOL-GN
STM3784-MONOMER,PTS suar transporter subunit IIA,STM3784,
STM0613-MONOMER,hydrogenase,STM0613,CCI-PM-BAC-NEG-GN
STM1129-MONOMER,N-acetylmannosamine-6-phosphate 2-epimerase,STM1129,CCI-CYTOSOL-GN
STM3282-MONOMER,polyribonucleotide nucleotidyltransferase,STM3282,CCI-CYTOSOL-GN
STM1506-MONOMER,Zn-dependent oxidoreductase,STM1506,
STM3660-MONOMER,xylulokinase,STM3660,
STM0083-MONOMER,putative inner membrane protein,STM0083,CCO-MEMBRANE
STM1003-MONOMER,amino acid:proton symporter,STM1003,CCI-PM-BAC-NEG-GN
STM4188-MONOMER,B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase,STM4188,
STM1378-MONOMER,pyruvate kinase,STM1378,CCI-CYTOSOL-GN
STM4561-MONOMER,molecular chaperone,STM4561,CCI-PERI-BAC-GN
PSLT066-MONOMER,single-strand binding protein,PSLT066,CCI-BAC-NUCLEOID-GN
STM3997-MONOMER,protein disulfide oxidoreductase,STM3997,CCI-PERI-BAC-GN
STM1877-MONOMER,carbon-nitrogen hydrolase,STM1877,
STM4048-MONOMER,transcriptional activator,STM4048,CCI-CYTOSOL-GN
STM0463-MONOMER,ammonium transporter,STM0463,CCI-PM-BAC-NEG-GN
STM4433-MONOMER,inositol 2-dehydrogenase,STM4433,CCI-CYTOSOL-GN
STM2256-MONOMER,nitrate reductase,STM2256,CCI-PERI-BAC-GN
STM1752-MONOMER,UTP--glucose-1-phosphate uridylyltransferase,STM1752,
STM3016-MONOMER,arabinose:proton symporter,STM3016,CCI-PM-BAC-NEG-GN
STM0340-MONOMER,fimbrial protein,STM0340,CCI-PILUS-GN
STM2633-MONOMER,Gifsy-1 prophage protein,STM2633,
STM2131-MONOMER,two-component system response regulator,STM2131,CCI-CYTOSOL-GN
STM0728-MONOMER,endonuclease VIII,STM0728,
STM2889-MONOMER,EscS/YscS/HrcS family type III secretion system export apparatus protein,STM2889,CCI-PM-BAC-NEG-GN
STM3392-MONOMER,putative outer membrane lipoprotein,STM3392,CCO-MEMBRANE
STM2509-MONOMER,putative IS3-like transposase,STM2509,
STM3768-MONOMER,selenocysteine synthase,STM3768,
STM0596-MONOMER,"2,3-dihydroxybenzoate-AMP ligase subunit",STM0596,
STM1112-MONOMER,DNA-binding protein,STM1112,CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
STM3266-MONOMER,putative phosphoheptose isomerase,STM3266,
STM1490-MONOMER,voltage-gated ClC-type chloride channel,STM1490,
STM3643-MONOMER,N-acetyltransferase,STM3643,
STM0067-MONOMER,carbamoyl phosphate synthase large subunit,STM0067,CCI-CYTOSOL-GN
STM0987-MONOMER,hypothetical protein,STM0987,CCI-CYTOSOL-GN
STM4168-MONOMER,endonuclease V,STM4168,CCI-CYTOSOL-GN
STM1361-MONOMER,MFS transporter,STM1361,CCI-PM-BAC-NEG-GN
STM4542-MONOMER,putative outer membrane protein,STM4542,
PSLT048-MONOMER,alpha-helical coiled coil protein,PSLT048,
STM1862-MONOMER,EamA family transporter,STM1862,CCI-PM-BAC-NEG-GN
STM4033-MONOMER,putative merR family bacterial regulatory protein,STM4033,
STM0447-MONOMER,trigger factor,STM0447,CCI-CYTOSOL-GN
STM4417-MONOMER,MurR/RpiR family transcriptional regulator,STM4417,CCI-BAC-NUCLEOID-GN
STM2240-MONOMER,putative cytoplasmic protein,STM2240,
STM1736-MONOMER,acyl-CoA thioester hydrolase,STM1736,CCI-CYTOSOL-GN
STM3000-MONOMER,prepilin peptidase dependent protein A,STM3000,CCO-MEMBRANE
STM0322-MONOMER,glutamate-5-semialdehyde dehydrogenase,STM0322,CCI-CYTOSOL-GN
STM2617-MONOMER,Gifsy-1 prophage protein,STM2617,
STM2115-MONOMER,colanic acid biosynthesis glycosyltransferase,STM2115,
STM0712-MONOMER,putative carboxylase,STM0712,
STM2873-MONOMER,EscF/YscF/HrpA family type III secretion system needle major subunit,STM2873,
STM3376-MONOMER,putative oxidoreductase,STM3376,
STM2493-MONOMER,AI-2E family transporter,STM2493,CCO-MEMBRANE
STM3752-MONOMER,putative cytoplasmic protein,STM3752,
STM0579-MONOMER,putative cytoplasmic protein,STM0579,
STM1096-MONOMER,Copper resistance transcriptional regulatory protein,STM1096,CCI-CYTOSOL-GN
STM3250-MONOMER,galactarate dehydratase,STM3250,
STM1473-MONOMER,Outer membrane protein N,STM1473,CCI-OUTER-MEM-GN
STM3247-MONOMER,glycerate 2-kinase,STM3247,
STM0051-MONOMER,ribonucleoside hydrolase,STM0051,CCI-CYTOSOL-GN
STM3624-MONOMER,Cellulose biosynthesis protein,STM3624,CCI-PM-BAC-NEG-GN
STM4152-MONOMER,50S ribosomal protein L7/L12,STM4152,CCI-RIBOSOME-GN
STM0968-MONOMER,MFS transporter,STM0968,CCI-PM-BAC-NEG-GN
STM4526-MONOMER,type I restriction-modification system endonuclease,STM4526,
STM1342-MONOMER,vitamin B12 ABC transporter ATP-binding protein,STM1342,CCI-PM-BAC-NEG-GN
STM1846-MONOMER,RNA chaperone,STM1846,CCI-CYTOSOL-GN
PSLT029-MONOMER,putative cytoplasmic protein,PSLT029,
STM0432-MONOMER,phosphonoacetaldehyde hydrolase,STM0432,
STM4014-MONOMER,putative periplasmic protein,STM4014,CCI-CYTOSOL-GN
STM2223-MONOMER,putative ATP-dependent helicase,STM2223,
STM4398-MONOMER,D-serine/D-alanine/glycine transporter,STM4398,CCI-PM-BAC-NEG-GN
STM2982-MONOMER,transcriptional regulator,STM2982,
STM1717-MONOMER,YciK family oxidoreductase,STM1717,CCI-CYTOSOL-GN
STM2600-MONOMER,Gifsy-1 prophage,STM2600,
STM0302-MONOMER,pilin structural protein,STM0302,
STM0696-MONOMER,alpha/beta hydrolase,STM0696,
STM2096-MONOMER,dTDP-4-dehydrorhamnose reductase,STM2096,CCI-CYTOSOL-GN
STM3360-MONOMER,arginine repressor,STM3360,CCI-CYTOSOL-GN
STM2854-MONOMER,hydrogenase maturation nickel metallochaperone,STM2854,
STM3735-MONOMER,YicC family protein,STM3735,
STM2474-MONOMER,transketolase,STM2474,CCI-CYTOSOL-GN
STM1079-MONOMER,heat-shock protein,STM1079,CCI-CYTOSOL-GN
STM0559-MONOMER,translocase,STM0559,CCI-PM-BAC-NEG-GN
STM1455-MONOMER,electron transport complex subunit,STM1455,CCI-PM-BAC-NEG-GN
STM3230-MONOMER,putative inner membrane protein,STM3230,CCO-MEMBRANE
STM0035-MONOMER,putative arylsulfatase,STM0035,
STM3608-MONOMER,putative tRNA-processing ribonuclease,STM3608,CCI-PM-BAC-NEG-GN
STM4125-MONOMER,DNA-binding transcriptional regulator,STM4125,
STM0951-MONOMER,"quercetin 2,3-dioxygenase",STM0951,
STM4510-MONOMER,putative aspartate racemase,STM4510,
STM1326-MONOMER,6-phosphofructokinase II,STM1326,CCI-CYTOSOL-GN
STM1830-MONOMER,PTS mannose transporter subunit IIAB,STM1830,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
PSLT011-MONOMER,sdiA-regulated gene; putative thiol-disulfide isomerase or thioredoxin,PSLT011,CCI-PERI-BAC-GN
STM0415-MONOMER,transcriptional regulator,STM0415,
STM3998-MONOMER,acyltransferase,STM3998,CCI-PM-BAC-NEG-GN
STM2206-MONOMER,bifunctional PTS fructose transporter subunit IIA/HPr protein,STM2206,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM4382-MONOMER,L-ascorbate 6-phosphate lactonase,STM4382,CCI-CYTOSOL-GN
STM2964-MONOMER,tRNA pseudouridine(65) synthase,STM2964,
STM1701-MONOMER,putative cytoplasmic protein,STM1701,
STM2585-MONOMER,anti-inflammatory response activator SarA,STM2585,CCO-MEMBRANE
STM0284-MONOMER,putative shiga-like toxin A subunit,STM0284,
STM0672-MONOMER,putative inner membrane protein,STM0672,CCO-MEMBRANE
STM2080-MONOMER,UDP-glucose 6-dehydrogenase,STM2080,
STM3344-MONOMER,30S ribosomal protein S9,STM3344,CCI-RIBOSOME-GN
STM2838-MONOMER,putative polysialic acid capsule expression protein,STM2838,
STM3719-MONOMER,"lipopolysaccharide &alpha;-(1,6)-galactosyltransferase",STM3719,
STM2458-MONOMER,ethanolamine ammonia-lyase large subunit,STM2458,CCI-CYTOSOL-GN
STM1063-MONOMER,paraquat-inducible protein A,STM1063,CCI-PM-BAC-NEG-GN
STM0540-MONOMER,putative membrane-bound metal-dependent hydrolases,STM0540,CCO-MEMBRANE
CPLX1R65-91,predicted ABC transporter of a branched-chain amino acid,STM3560 // STM3561 // STM3562 // STM3563 // STM3567,
STM1439-MONOMER,oxidoreductase,STM1439,CCI-CYTOSOL-GN
STM3214-MONOMER,NADPH-dependent ferric siderophore reductase,STM3214,
CPLX1R65-59,carbamoyl phosphate synthase,STM0066 // STM0067,
CPLX1R65-75,predicted ABC transporter of molybdate,STM0778 // STM0781 // STM0782,
STM0019-MONOMER,chitinase,STM0019,
STM3592-MONOMER,dipeptide/tripeptide permease,STM3592,CCI-PM-BAC-NEG-GN
CPLX1R65-229,lipid A palmitoyltransferase,STM0628,
CPLX1R65-39,aspartate carbamoyltransferase,STM4459 // STM4460,
STM4107-MONOMER,DUF1287 domain-containing protein,STM4107,
STM0932-MONOMER,putative nucleoside-diphosphate-sugar epimerase,STM0932,
CPLX1R65-196,,STM0368,
CPLX1R65-210,2-aminoethylphosphonate-pyruvate transaminase,STM0431,
STM4494-MONOMER,sugar/spermidine/putrescine ABC transporter ATP-binding protein,STM4494,
STM1310-MONOMER,NAD(+) synthase,STM1310,CCI-CYTOSOL-GN
CPLX1R65-163,ATP synthase F0 complex,STM3871 // STM3869 // STM3870,
CPLX1R65-18,assimilatory sulfite reductase (NADPH),STM2947 // STM2948,
STM1814-MONOMER,septum site-determining protein,STM1814,
STM3976-MONOMER,hydrolase,STM3976,CCI-CYTOSOL-GN
CPLX1R65-124,periplasmic nitrite reductase NrfAB,STM4278 // STM4277,
CPLX1R65-147,formate hydrogenlyase complex,STM4285 // STM2852 // STM2851 // STM2850 // STM2849 // STM2848 // STM2847,
STM0399-MONOMER,branched-chain amino acid transport system II carrier protein,STM0399,CCI-PM-BAC-NEG-GN
STM4366-MONOMER,adenylosuccinate synthase,STM4366,CCI-CYTOSOL-GN
CPLX1R65-88,predicted ABC transporter of phosphate,STM3854 // STM3855 // STM3856 // STM3857,
CPLX1R65-102,enterobactin synthase,STM0596 // STM0588 // STM0584 // STM0597,
STM2190-MONOMER,methyl-galactoside ABC transporter substrate-binding protein,STM2190,CCI-PERI-BAC-GN
STM1686-MONOMER,thiosulfate sulfurtransferase,STM1686,
CPLX1R65-51,L(+)-tartrate dehydratase,STM3354 // STM3355,
CPLX1R65-72,predicted ABC transporter of spermidine/putrescine,STM1222 // STM1223 // STM1225 // STM1226,
STM2948-MONOMER,sulfite reductase [NADPH] flavoprotein subunit alpha,STM2948,CCI-CYTOSOL-GN
STM0269-MONOMER,putative cytoplasmic protein,STM0269,
CPLX1R65-226,aldo-keto reductase STM2406,STM2406,
CPLX1R65-36,cytochrome o ubiquinol oxidase,STM0440 // STM0441 // STM0442 // STM0443,
STM2569-MONOMER,acid phosphatase,STM2569,CCO-MEMBRANE
STM2064-MONOMER,thiosulfate reductase electron transport subunit,STM2064,CCI-PM-BAC-NEG-GN
CPLX1R65-191,alkyl hydroperoxide reductase,STM0609 // STM0608,
CPLX1R65-208,R2F homodimer,STM2808,
STM0656-MONOMER,molecular chaperone,STM0656,CCO-MEMBRANE
STM2817-MONOMER,S-ribosylhomocysteine lyase,STM2817,
CPLX1R65-160,F0F1 ATP synthase subunit c decamer,STM3870,
CPLX1R65-177,aerobic fatty acid oxidation complex,STM3982 // STM3983,
STM3328-MONOMER,two-component sensor histidine kinase,STM3328,CCI-PM-BAC-NEG-GN
STM2442-MONOMER,sulfate ABC transporter permease subunit,STM2442,CCI-PM-BAC-NEG-GN
CPLX1R65-121,glycine cleavage system,STM0154 // STM3053 // STM3055,
CPLX1R65-144,,STM0805 // STM0806,
STM3703-MONOMER,putative rhodanese-related sulfurtransferases,STM3703,CCO-MEMBRANE
STM3197-MONOMER,glycogen synthase,STM3197,
CPLX1R65-85,predicted ABC transporter of autoinducer 2,STM4074 // STM4075 // STM4077,
CPLX1R65-10,acetolactate synthase I,STM3795 // STM3796,
STM1046-MONOMER,Gifsy-2 prophage probable tail assembly protein,STM1046,
STM3576-MONOMER,zinc/cadmium/mercury/lead-transporting ATPase,STM3576,CCI-PM-BAC-NEG-GN
CPLX1R65-48,3-isopropylmalate dehydratase,STM0110 // STM0111,
CPLX1R65-7,cytochrome d ubiquinol oxidase,STM1792 // STM1793,
STM1421-MONOMER,EscT/YscT/HrcT family type III secretion system export apparatus protein,STM1421,CCI-PM-BAC-NEG-GN
STM0916-MONOMER,putative Fels-1 prophage major tail protein,STM0916,
CPLX1R65-22,exodeoxyribonuclease V,STM2993 // STM2994 // STM2996,
CPLX1R65-33,anaerobic glycerol-3-phosphate dehydrogenase,STM2284 // STM2285 // STM2286,
STM0003-MONOMER,homoserine kinase,STM0003,CCI-CYTOSOL-GN
STM1294-MONOMER,L-asparaginase 1,STM1294,CCI-CYTOSOL-GN
CPLX1R65-189,mannose-specific PTS enzyme II,STM1832 // STM1831 // STM1830,
CPLX1R65-204,"glutamate-1-semialdehyde 2,1-aminomutase",STM0202,
STM4091-MONOMER,HslU--HslV peptidase ATPase subunit,STM4091,CCI-CYTOSOL-GN
STM3960-MONOMER,homoserine/homoserine lactone efflux protein,STM3960,CCI-PM-BAC-NEG-GN
CPLX1R65-158,F0F1 ATP synthase subunit alpha trimer,STM3867,
CPLX1R65-172,excinuclease UvrABC,STM0798 // STM1946 // STM4254,
STM4477-MONOMER,leucyl aminopeptidase,STM4477,CCI-CYTOSOL-GN
STM4347-MONOMER,miniconductance mechanosensitive channel,STM4347,CCI-PM-BAC-NEG-GN
CPLX1R65-119,2-oxoglutarate dehydrogenase,STM0154 // STM0737 // STM0736,
CPLX1R65-141,succinate dehydrogenase complex,STM0733 // STM0732 // STM0735 // STM0734,
STM1798-MONOMER,flagellar brake protein,STM1798,CCO-CELL-PROJECTION
STM1670-MONOMER,putative serine/threonine protein kinase,STM1670,
CPLX1R65-67,predicted ABC transporter of Zn2+,STM1891 // STM1892 // STM1893,
CPLX1R65-82,predicted ABC transporter of (2-aminoethyl)phosphonate,STM0426 // STM0427 // STM0428 // STM0429,
STM0383-MONOMER,putative cytoplasmic protein,STM0383,
STM0246-MONOMER,DL-methionine transporter permease subunit,STM0246,CCI-PM-BAC-NEG-GN
CPLX1R65-30,hydrogenase-1,STM1786 // STM1787 // STM1788,
CPLX1R65-45,PTS sugar transporter,STM3783 // STM3784,
STM2174-MONOMER,tRNA dihydrouridine(16) synthase,STM2174,
STM2048-MONOMER,microcompartment protein,STM2048,
CPLX1R65-201,threonine-phosphate decarboxylase,STM0644,
CPLX1R65-217,cellulose synthase,STM3618 // STM3619,
STM2932-MONOMER,putative inner membrane protein,STM2932,CCO-MEMBRANE
STM2801-MONOMER,putative cytoplasmic protein,STM2801,
CPLX1R65-17,trimethylamine N-oxide reductase,STM3822 // STM3823,
CPLX1R65-186,"citrate lyase, inactive",STM0621 // STM0622 // STM0623,
STM2552-MONOMER,putative periplasmic or exported protein,STM2552,
STM2426-MONOMER,putative cytoplasmic protein,STM2426,
CPLX1R65-138,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit",STM1820 // STM3208,
CPLX1R65-153,nitrate reductase 2,STM1577 // STM1578 // STM1580,
STM0640-MONOMER,penicillin-binding protein 2,STM0640,CCI-PM-BAC-NEG-GN
STM3181-MONOMER,DNA topoisomerase IV subunit B,STM3181,
CPLX1R65-97,predicted PEP-driven transporter of a sugar,STM1613 // STM1614,
CPLX1R65-11,acetolactate synthase,STM3901 // STM3902,
STM3312-MONOMER,ABC transporter permease,STM3312,CCI-PM-BAC-NEG-GN
STM3560-MONOMER,branched-chain amino acid ABC transporter ATP-binding protein,STM3560,
CPLX1R65-63,predicted ABC transporter of glycine betaine/L-proline,STM2809 // STM2810 // STM2811,
CPLX1R65-79,predicted ABC transporter of a peptide,STM1692 // STM1693 // STM1694 // STM1695 // STM1696,
STM3687-MONOMER,mannitol operon repressor,STM3687,
STM0900-MONOMER,putative Fels-1 prophage DNA or RNA helicases of superfamily II,STM0900,
CPLX1R65-28,DNA polymerase V,STM1997 // STM1998,
CPLX1R65-42,bifunctional PTS fructose transporter,STM2204 // STM2206,
STM1030-MONOMER,Gifsy-2 prophage protein,STM1030,
STM3943-MONOMER,iron donor protein,STM3943,CCI-CYTOSOL-GN
CPLX1R65-2,ethanolamine ammonia-lyase,STM2457 // STM2458,
CPLX1R65-214,superoxide dismutase [Cu-Zn] 1,STM1044,
STM1405-MONOMER,pathogenicity island 2 effector protein,STM1405,CCO-MEMBRANE
STM1281-MONOMER,Uncharacterized protein,STM1281,CCO-MEMBRANE
CPLX1R65-167,leucine ABC transporter,STM3560 // STM3561 // STM3563 // STM3562 // STM3564,
CPLX1R65-183,"citrate lyase, citryl-acyl carrrier protein lyase component",STM0622,
PSLT097-MONOMER,conjugative transfer: assembly,PSLT097,
STM4331-MONOMER,putative outer membrane lipoprotein,STM4331,
CPLX1R65-134,5-carboxymethylaminomethyluridine-tRNA synthase,STM3843 // STM3874,
CPLX1R65-150,ferric hydroxamate ABC transporter,STM0194 // STM0193 // STM0192,
STM4075-MONOMER,autoinducer 2 ABC transporter permease,STM4075,CCI-PM-BAC-NEG-GN
STM1653-MONOMER,cation transporter,STM1653,CCI-PM-BAC-NEG-GN
CPLX1R65-94,ABC-type lipopolysaccharide transporter,STM3317 // STM3318 // STM3319 // STM0093 // STM0647 // STM4479 // STM4480,
CPLX1R65-107,pyruvate dehydrogenase (acetyl-transferring),STM0152,
STM4461-MONOMER,pyrBI operon leader peptide,STM4461,
STM0229-MONOMER,lipid-A-disaccharide synthase,STM0229,CCI-CYTOSOL-GN
CPLX1R65-6,cytochrome d ubiquinol oxidase,STM0740 // STM0741,
CPLX1R65-76,histidine ABC transporter,STM2352 // STM2353 // STM2351 // STM2354,
STM1782-MONOMER,putative inner membrane protein,STM1782,CCO-MEMBRANE
STM2032-MONOMER,cobalt-precorrin-6A synthase,STM2032,
CPLX1R65-230,aspartate 1-decarboxylase,STM0180,
CPLX1R65-4,4-hydroxyphenylacetate 3-monooxygenase,STM1098 // STM1099,
STM0367-MONOMER,propionate catabolism operon regulatory protein,STM0367,CCI-CYTOSOL-GN
STM2785-MONOMER,DNA-binding response regulator,STM2785,CCI-CYTOSOL-GN
CPLX1R65-197,,STM2025,
CPLX1R65-211,diaminopropionate ammonia-lyase,STM1002,
STM2158-MONOMER,two-component system response regulator,STM2158,CCI-CYTOSOL-GN
STM2404-MONOMER,ion channel protein,STM2404,CCI-PM-BAC-NEG-GN
CPLX1R65-164,ATP synthase,STM3867 // STM3865 // STM3866 // STM3868 // STM3864 // STM3870 // STM3869 // STM3871,
CPLX1R65-180,,STM1570 // STM1569 // STM1568,
STM2916-MONOMER,,STM2916,CCI-CYTOSOL-GN
STM3165-MONOMER,"2,5-didehydrogluconate reductase A",STM3165,CCI-CYTOSOL-GN
CPLX1R65-125,menaquinol-cytochrome <i>c</i> nitrite reductase NrfCD,STM4280 // STM4279,
CPLX1R65-148,,STM2065 // STM2064 // STM2063,
STM2536-MONOMER,aminopeptidase,STM2536,CCI-CYTOSOL-GN
STM3544-MONOMER,"quercetin 2,3-dioxygenase",STM3544,
CPLX1R65-89,predicted ABC transporter of a dipeptide,STM3626 // STM3627 // STM3628 // STM3629 // STM3630,
CPLX1R65-103,acetyl-CoA carboxylase biotin carboxylase,STM3380,
STM0624-MONOMER,[citrate (pro-3S)-lyase] ligase,STM0624,
STM0885-MONOMER,PTS sugar transporter IIB,STM0885,
CPLX1R65-55,oxaloacetate decarboxylase (Na+ extruding) 1,STM0054 // STM0055 // STM0056,
CPLX1R65-73,predicted ABC transporter of glutathione,STM0848 // STM0849 // STM0850 // STM0851,
STM3295-MONOMER,dihydropteroate synthase,STM3295,CCI-CYTOSOL-GN
STM3923-MONOMER,glucose-1-phosphate thymidyl transferase,STM3923,
CPLX1R65-227,,STM4007,
CPLX1R65-37,carbamoyl phosphate synthase,STM0066 // STM0067,
STM3671-MONOMER,"2,3-diketo-L-gulonate TRAP transporter small permease",STM3671,CCI-PM-BAC-NEG-GN
STM1265-MONOMER,putative response regulators,STM1265,
CPLX1R65-193,sulfite reductase [NADPH] flavoprotein complex,STM2948,
CPLX1R65-209,"putative diol dehydratase-reactivating factor,",STM2044 // STM2043,
STM1014-MONOMER,Gifsy-2 prophage putative regulatory protein,STM1014,
STM4315-MONOMER,AraC family transcriptional regulator,STM4315,
CPLX1R65-161,F0F1 ATP synthase subunit b dimer,STM3869,
CPLX1R65-178,p-hydroxybenzoic acid efflux pump AaeAB,STM3364 // STM3365,
STM1389-MONOMER,putative inner membrane protein,STM1389,
STM1637-MONOMER,putative inner membrane protein,STM1637,CCI-PM-BAC-NEG-GN
CPLX1R65-122,glutamate synthase complex,STM3331 // STM3330,
CPLX1R65-145,anthranilate synthase,STM1724 // STM1723,
PSLT079-MONOMER,conjugative transfer: assembly,PSLT079,CCO-MEMBRANE
STM0213-MONOMER,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",STM0213,CCI-CYTOSOL-GN
CPLX1R65-70,predicted ABC transporter of L-cysteine/glutathione,STM0956 // STM0957,
CPLX1R65-86,predicted ABC transporter of thiamine,STM0106 // STM0108,
STM4059-MONOMER,DNA-binding response regulator,STM4059,CCI-CYTOSOL-GN
STM2019-MONOMER,synthesis of vitamin B12 adenosyl cobalamide precursor,STM2019,
CPLX1R65-34,fumarate reductase,STM4340 // STM4341 // STM4342 // STM4343,
CPLX1R65-49,3-isopropylmalate dehydratase,STM0329 // STM0330,
STM4444-MONOMER,putative inner membrane protein,STM4444,CCO-MEMBRANE
STM2387-MONOMER,phosphohistidine phosphatase,STM2387,CCI-CYTOSOL-GN
CPLX1R65-205,,STM3477,
CPLX1R65-224,tryptophan synthase subunit beta dimer,STM1726,
STM1766-MONOMER,two-component system sensor histidine kinase,STM1766,CCI-PM-BAC-NEG-GN
STM3149-MONOMER,hydrogenase 2 protein,STM3149,CCI-PERI-BAC-GN
CPLX1R65-175,"fatty acid oxidation complex, &alpha; component",STM3983,
CPLX1R65-19,NAD(P) transhydrogenase,STM1479 // STM1480,
STM0351-MONOMER,multidrug efflux RND transporter permease subunit,STM0351,CCI-PM-BAC-NEG-GN
STM3527-MONOMER,putative inner membrane protein,STM3527,
CPLX1R65-142,CRISPR-associated complex for antiviral defense,STM2939 // STM2940 // STM2941 // STM2942 // STM2943,
CPLX1R65-159,F0F1 ATP synthase subunit beta trimer,STM3865,
STM2143-MONOMER,putative glycohydrolase,STM2143,
STM0868-MONOMER,putative transport protein/putative regulator,STM0868,CCI-PM-BAC-NEG-GN
CPLX-9593,<i>Salmonella</i> O:4 antigen polymerase,STM1332,
CPLX1R65-12,ribonucleoside-diphosphate reductase 1,STM2277 // STM2278,
STM2900-MONOMER,invasion lipoprotein,STM2900,CCI-OUTER-MEM-GN
STM3905-MONOMER,PLP-dependent threonine dehydratase,STM3905,
CPLX1R65-68,predicted ABC transporter of an oligopeptide,STM1742 // STM1743 // STM1746 // STM1745 // STM1744,
CPLX1R65-83,predicted ABC transporter of L-methionine,STM0511 // STM0512,
STM2520-MONOMER,outer membrane protein assembly factor,STM2520,CCI-OUTER-MEM-GN
STM1246-MONOMER,Virulence membrane protein,STM1246,CCI-OUTER-MEM-GN
CPLX1R65-31,hydrogenase 2,STM3147 // STM3150 // STM3149 // STM3148,
CPLX1R65-46,PTS fructose-specific transporter,STM4113 // STM4116,
STM0608-MONOMER,alkyl hydroperoxide reductase AhpC component,STM0608,CCI-CYTOSOL-GN
STM4299-MONOMER,melibiose:sodium transporter,STM4299,CCI-PM-BAC-NEG-GN
CPLX1R65-202,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase,STM2016,
CPLX1R65-218,acetolactate synthase,STM0117 // STM0116,
STM3277-MONOMER,putative inner membrane protein,STM3277,CCO-MEMBRANE
STM1621-MONOMER,putative periplasmic protein,STM1621,
CPLX1R65-154,nitrate reductase 1,STM1761 // STM1763 // STM1764,
CPLX1R65-170,aminodeoxychorismate synthase,STM1824 // STM3469,
STM3655-MONOMER,glycine--tRNA ligase subunit beta,STM3655,CCI-CYTOSOL-GN
STM0197-MONOMER,fimbrial protein,STM0197,CCI-PERI-BAC-GN
CPLX1R65-117,,STM0736,
CPLX1R65-139,N<sup>6</sup>-L-threonylcarbamoyladenine synthase,STM4357 // STM3208 // STM1820,
STM0998-MONOMER,aromatic amino acid aminotransferase,STM0998,CCI-CYTOSOL-GN
STM1997-MONOMER,DNA polymerase V subunit,STM1997,
CPLX1R65-80,predicted ABC transporter of nickel or a peptide,STM1256 // STM1257 // STM1258 // STM1259 // STM1255,
CPLX1R65-98,fructoselysine/glucoselysine PTS enzyme II,STM4535 // STM4537 // STM4536 // STM4538,
STM1373-MONOMER,bifunctional cysteine desulfurase/selenocysteine lyase,STM1373,CCI-CYTOSOL-GN
STM2371-MONOMER,flagella biosynthesis regulator,STM2371,CCI-PM-BAC-NEG-GN
CPLX1R65-43,PTS glucitol/sorbitol transporter,STM2832 // STM2833 // STM2834,
CPLX1R65-64,predicted ABC transporter of sulfate,STM2441 // STM2442 // STM2443 // STM4063,
PSLT060-MONOMER,putative cytoplasmic protein,PSLT060,
STM3133-MONOMER,putative amidohydrolase,STM3133,
CPLX1R65-215,multidrug efflux pump,STM0350 // STM0351 // STM0352,
CPLX1R65-29,hydrogenase-5,STM1538 // STM1539 // STM1537,
STM4043-MONOMER,L-rhamnose mutarotase,STM4043,CCI-CYTOSOL-GN
STM2756-MONOMER,6-phospho 3-hexuloisomerase,STM2756,
CPLX1R65-184,citrate lyase [acyl carrier protein] component,STM0623,
CPLX1R65-20,tetrathionate reductase,STM1383 // STM1384 // STM1385,
STM4428-MONOMER,arabinose transporter,STM4428,CCI-PM-BAC-NEG-GN
STM0851-MONOMER,glutathione ABC transporter permease,STM0851,CCI-PM-BAC-NEG-GN
CPLX1R65-151,"NADH:quinone oxidoreductase I, peripheral arm",STM2321 // STM2323 // STM2324 // STM2325 // STM2326 // STM2327,
CPLX1R65-168,murein tripeptide ABC transporter,STM1742 // STM1743 // STM1744 // STM1745 // STM1679,
STM1747-MONOMER,putative inner membrane protein,STM1747,
STM3513-MONOMER,4-alpha-glucanotransferase,STM3513,
CPLX1R65-108,,STM0154,
CPLX1R65-135,5-carboxymethylaminomethyluridine-tRNA synthase MnmE dimer,STM3843,
STM0335-MONOMER,putative outer membrane protein,STM0335,
STM3881-MONOMER,D-ribose pyranase,STM3881,CCI-CYTOSOL-GN
